cluster_id,cluster_size,revision_id,entity_id,entity_label,property_id,property_label,old_value,new_value,old_value_label,new_value_label,user_type,datatype,change_target,value_id,action,target,timestamp
0,23224,354170544,203676,National Military Park,279,,Q1258086,Q19558910,National Historic Site,National Register of Historic Places listed place,human,wikibase-entityid,,Q203676$52080d7b-4efe-00b3-3fe9-bdf749cff313,UPDATE,PROPERTY_VALUE,2016-07-04 18:21:59+00:00
0,23224,2176093000,101532,"Frederick III, Count of Moers",40,,Q116007000,Q31191840,,"Anna, Gräfin von Mörs und Saarwerden",bot,wikibase-entityid,,Q101532$8776296B-2ED3-4AE9-8AAB-0E0EBA53F1B5,UPDATE,PROPERTY_VALUE,2024-06-11 01:34:10+00:00
0,23224,163693488,276888,Irina Fyodorova,512,academic degree,Q17281174,Q12101789,,Doctor of Historical Sciences,bot,wikibase-entityid,,Q276888$F6FFFFF0-2A66-45B2-ABFA-BD3D2321B50F,UPDATE,PROPERTY_VALUE,2014-10-14 14:21:52+00:00
0,23224,1120453704,151628,"Henrietta Churchill, 2nd Duchess of Marlborough",40,,Q75385395,Q8009949,,"William Godolphin, Marquess of Blandford",bot,wikibase-entityid,,Q151628$be06a6c0-c4d9-40a6-85d6-7895995589c9,UPDATE,PROPERTY_VALUE,2020-02-22 00:57:29+00:00
0,23224,1025482829,335734,Þuríður Backman,39,position held,Q21272959,Q33088857,Member of the Althing,Member of the 2003-2007 Parliament of Iceland,human,wikibase-entityid,,Q335734$3D7C97C3-3FD3-434B-8F34-6ABAB0FB412E,UPDATE,PROPERTY_VALUE,2019-10-04 02:00:50+00:00
0,23224,77878368,269218,county of Kenya,279,,Q70252,Q3976641,province of Kenya,administrative territorial entity of Kenya,human,wikibase-entityid,,q269218$daee86c0-44ab-07f4-fba9-56145d5da5dd,UPDATE,PROPERTY_VALUE,2013-10-14 14:30:55+00:00
0,23224,1276138640,340090,Kiliia Raion,1465,,Q18666018,Q18665859,,Category:Deaths in Izmail Raion,bot,wikibase-entityid,,Q340090$03E58DB0-F91E-41E1-B040-E947FE32D613,UPDATE,PROPERTY_VALUE,2020-09-12 11:27:11+00:00
0,23224,1501707602,44272,Michel Foucault,509,cause of death,Q15787,Q57631472,HIV,Virus de la inmunodeficiencia humana y servicios de urgencias. Réplica,anonymous,wikibase-entityid,,Q44272$35CC9EB5-3FE1-400B-BB55-B68FE34FA09B,UPDATE,PROPERTY_VALUE,2021-09-22 19:33:40+00:00
0,23224,1370974278,18616,Blackwater Park,361,part of,Q4382270,Q105690935,Opeth discography,Opeth's albums in chronological order,human,wikibase-entityid,,Q18616$c4e80260-4212-2aca-4436-a283d101e14b,UPDATE,PROPERTY_VALUE,2021-02-26 17:35:08+00:00
0,23224,398098137,170295,Ionian Islands,1465,,Q18667970,Q9221493,,Category:Deaths in the Ionian Islands,bot,wikibase-entityid,,Q170295$E6429E69-A697-4426-948B-EA6EBA9B5B8A,UPDATE,PROPERTY_VALUE,2016-10-29 21:43:37+00:00
0,23224,314092246,155538,Pina Bausch,166,award received,Q18229558,Q10905171,,Great Cross with Star and Sash of the Order of Merit of the Federal Republic of Germany,bot,wikibase-entityid,,Q155538$7181B772-B721-49AC-B4B9-7A4EFB4B4EBE,UPDATE,PROPERTY_VALUE,2016-03-20 18:15:28+00:00
0,23224,1719203185,30487,Mikhail Gorbachev,166,award received,Q41254,Q3113382,Grammy Awards,Grammy Award for Best Spoken Word Album for Children,human,wikibase-entityid,,Q30487$B8023E72-4F44-4A26-866B-3B78FC90DE8C,UPDATE,PROPERTY_VALUE,2022-09-02 06:31:03+00:00
