cluster_id,cluster_size,revision_id,entity_id,entity_label,property_id,property_label,old_value,new_value,old_value_label,new_value_label,user_type,datatype,change_target,value_id,action,target,timestamp
0,20565,1528237674,482,poetry,-2,description,form of literary art,literary genre characterized by a strong expressiveness of words,,,human,string,,description,UPDATE,PROPERTY_VALUE,2021-11-15 19:01:37+00:00
0,20565,901818531,107711,firefighter,3553,,https://www.zhihu.com/search?q=%E5%87%89%E5%B1%B1%E7%81%AB%E7%81%BE&utm_content=search_hot&utm_medium=organic&utm_source=zhihu&type=content,四川凉山森林大火 刘梦洁硕士学位被撤,,,human,string,,Q107711$5b3a5737-43e4-fda2-59d8-76b8c36543f2,UPDATE,PROPERTY_VALUE,2019-04-03 21:11:01+00:00
0,20565,1552272776,187332,Iraqi Interim Government,-2,description,Wikimedia list article,Caretaker government of Iraq controlled by United States and allies (2004–2005),,,human,string,,description,UPDATE,PROPERTY_VALUE,2021-12-30 02:54:47+00:00
0,20565,597793530,309067,motion sickness,-2,description,nausea caused by motion,condition in which a disagreement exists between visually perceived movement and the vestibular system's sense of movement,,,human,string,,description,UPDATE,PROPERTY_VALUE,2017-11-24 04:56:08+00:00
0,20565,116956369,7310,Nazism,-2,description,"ideology of the Nazi Party and Nazi Germany. In many languages other than English, it is not same as National Socialism.",ideology and practice associated with the 20th-century German Nazi Party and state,,,human,string,,description,UPDATE,PROPERTY_VALUE,2014-03-18 19:24:01+00:00
0,20565,780532298,60653,namaste,-2,description,common spoken Indian valediction or salutation,"Customary greeting and valediction in India and southeast Asia, particularly among Hindus",,,human,string,,description,UPDATE,PROPERTY_VALUE,2018-11-03 01:18:08+00:00
0,20565,1601636847,215861,S.T.A.L.K.E.R.: Shadow of Chernobyl,-2,description,first-person shooter survival horror video game developed by GSC Game World,2007 first-person shooter video game,,,human,string,,description,UPDATE,PROPERTY_VALUE,2022-03-23 14:51:10+00:00
0,20565,2326627780,410329,amblygonite,18,image,Mineral Ambligonita GDFL032.jpg,Estonian Museum of Natural History Specimen No 202251 photo (g27 g27-601 1 jpg).jpg,,,human,string,,Q410329$1DA4EDB1-2F1C-47FF-8549-635283A1DA0C,UPDATE,PROPERTY_VALUE,2025-03-18 08:02:47+00:00
0,20565,1119476005,201413,heuristic,-2,description,"a practical, suboptimal technique","any approach to problem solving or self-discovery that employs a practical method that is not guaranteed to be optimal, perfect or rational, but which is nevertheless sufficient for reaching an immediate, short-term goal",,,human,string,,description,UPDATE,PROPERTY_VALUE,2020-02-20 21:35:45+00:00
0,20565,596398456,58284,Guido Westerwelle,18,image,Dr-guido-westerwelle-fdpbundesaussenminister 2013.jpg,Ministru prezidents Valdis Dombrovskis tiekas ar Vācijas ārlietu ministru Gvido Vestervelli (7849819858) (cropped).jpg,,,human,string,,q58284$ecf5f20e-412b-f3e2-2df4-d5f0eddf703b,UPDATE,PROPERTY_VALUE,2017-11-20 11:47:52+00:00
0,20565,2351300584,199841,Democratic Yemen,1451,motto text,وحدة ، حرية ، إشتراكية,لنناضل من أجل الدفاع عن الثورة اليمنية، وتنفيذ الخطة الخمسية، وتحقيق الوحدة اليمنية,,,human,monolingualtext,,Q199841$4987f1c7-49cb-d6e2-ea9d-3d8c8cd93747,UPDATE,PROPERTY_VALUE,2025-05-22 17:13:45+00:00
0,20565,1345741668,441848,Alexander McNutt,1442,image of grave,AGMcNutt.jpg,"Burial site of Mississippi governor Alexander G. McNutt at Greenwood Cemetery, Jackson.jpg",,,human,string,,Q441848$95DDF283-4B5C-4434-BE49-E1C1B5FA0F5D,UPDATE,PROPERTY_VALUE,2021-01-21 21:42:33+00:00
0,20565,1484095787,93211,Bretnig-Hauswalde,-2,description,former municipality of Germany,"village of the town of Großröhrsdorf, which was a Saxon municipality until its incorporation on January 1, 2017, belonging to the administrative community of Großröhrsdorf in the district of Bautzen",,,human,string,,description,UPDATE,PROPERTY_VALUE,2021-08-19 21:45:17+00:00
0,20565,1506211167,8137,capital,-2,description,already-produced durable goods that are used in production of goods or services,assets used for the production of goods and services,,,human,string,,description,UPDATE,PROPERTY_VALUE,2021-10-01 06:15:39+00:00
0,20565,1417175503,312297,Cosimo II de' Medici,94,coat of arms image,Coat of arms of the House of de' Medici.png,Coat of arms of the Grand Duchy of Tuscany (1562-1737) - type 2.svg,,,human,string,,Q312297$4ec670e0-4413-ea80-1c8d-d27587d8f386,UPDATE,PROPERTY_VALUE,2021-05-08 10:40:02+00:00
1,36128,248401354,134715,Panamericansaurus,-2,description,genus of saurischian dinosaurs,genus of reptiles (fossil),,,bot,string,,description,UPDATE,PROPERTY_VALUE,2015-09-07 15:47:08+00:00
1,36128,1398182852,160427,Juan Diego Flórez,1477,,Juan Diego Flórez Salom,mkmvofdokdeas,,,anonymous,monolingualtext,,Q160427$19440ef7-460d-9020-c88b-0d364390ad03,UPDATE,PROPERTY_VALUE,2021-04-08 20:49:24+00:00
1,36128,2032051052,368138,Narmer Palette,18,image,Narmer Palette.jpg,Spiderman - Madame Tussauds Bangkok.jpg,,,anonymous,string,,Q368138$EC0973A6-ED3B-4E16-A3B8-84C61E10201F,UPDATE,PROPERTY_VALUE,2023-12-18 07:47:28+00:00
1,36128,1780031919,335413,Tolgay Arslan,2369,,tolgay-ali-arslan/86485,-/86485,,,bot,string,,Q335413$1ACDED45-54E3-41A8-81B8-59E5065B3C66,UPDATE,PROPERTY_VALUE,2022-11-28 00:55:39+00:00
1,36128,1329497580,211411,Chrysippus of Soli,-2,description,ancient Greek philosopher,Greek Stoic philosopher,,,anonymous,string,,description,UPDATE,PROPERTY_VALUE,2020-12-27 04:25:54+00:00
1,36128,41348011,34887,Carica papaya,-1,label,Papaya,පැෙපාල්,,,anonymous,string,,label,UPDATE,PROPERTY_VALUE,2013-05-13 12:31:30+00:00
1,36128,1782848117,171477,VLC media player,1324,,https://git.videolan.org/vlc.git,https://github.com/videolan/vlc,,,anonymous,string,,Q171477$02B9C4CB-068C-4EF5-A9CD-30408BD0F80E,UPDATE,PROPERTY_VALUE,2022-12-02 16:44:46+00:00
1,36128,301930398,30758,Ana Ivanovic,564,singles record,460–207,467–212,,,anonymous,string,,q30758$76148DF6-84F7-4EED-8D7F-DB28640B136A,UPDATE,PROPERTY_VALUE,2016-02-08 17:12:14+00:00
1,36128,692111938,235155,White people,-1,label,white people,white person,,,anonymous,string,,label,UPDATE,PROPERTY_VALUE,2018-06-08 02:28:36+00:00
1,36128,1720483084,381733,Uberaba,18,image,Uberaba (2020).jpg,Panoramica de Uberaba 3.jpg,,,anonymous,string,,Q381733$72FC99AA-85A3-494B-AFA9-3300E949E8D0,UPDATE,PROPERTY_VALUE,2022-09-04 02:33:53+00:00
1,36128,1138721525,14405,Deinonychus,-2,description,genus of reptiles (fossil),genus of dinosaur (fossil),,,anonymous,string,,description,UPDATE,PROPERTY_VALUE,2020-03-19 21:58:20+00:00
1,36128,2301275466,60699,Zog I of Albania,94,coat of arms image,Great Arms of the House of Zogu.png,Coat of arms of the Albanian Kingdom (1928–1939).svg,,,anonymous,string,,Q60699$9ce50ffc-4acd-9532-fd70-0072c331145f,UPDATE,PROPERTY_VALUE,2025-01-22 19:24:32+00:00
1,36128,1572469303,170386,Innocent II,18,image,B Innozenz II1 (cropped).jpg,Pope Innocent II – Santa Maria in Trastevere.jpg,,,anonymous,string,,q170386$EC94751F-A5F0-46CD-B075-E067746BD7C6,UPDATE,PROPERTY_VALUE,2022-02-03 14:21:33+00:00
1,36128,1388119805,204261,Sabin Berthelot,1559,,Sabin Berthelot,Sabino Berthelot,,,anonymous,monolingualtext,,Q204261$5F0FAF3A-A334-4A5F-9643-4162D696EED6,UPDATE,PROPERTY_VALUE,2021-03-23 10:08:30+00:00
1,36128,1306515370,310499,Baumax,-2,description,company,former Austrian DIY store chain,,,anonymous,string,,description,UPDATE,PROPERTY_VALUE,2020-11-14 12:27:58+00:00
2,97041,1613115465,235746,Kesennuma,94,coat of arms image,Symbol of Kesennuma Miyagi.svg,"Emblem of Kesennuma, Miyagi.svg",,,human,string,,Q235746$36bcce91-48ca-e865-4da9-927842f4b524,UPDATE,PROPERTY_VALUE,2022-04-07 05:15:56+00:00
2,97041,1288119977,310275,Frankie Muniz,18,image,FrankieMuniz-2012 cropped.JPG,Frankie Muniz (17179359213).jpg,,,human,string,,q310275$7717286E-163B-4992-96C7-446602E8C053,UPDATE,PROPERTY_VALUE,2020-10-07 22:19:44+00:00
2,97041,390932281,324986,Chikamatsu Monzaemon,1477,,Sugi Jirokichi,Sugimori Jirokichi,,,human,monolingualtext,,Q324986$ca8ac291-46d0-8c2a-8c14-bbe1baf90b38,UPDATE,PROPERTY_VALUE,2016-10-19 06:05:59+00:00
2,97041,1933999345,2768,Torino FC,-1,label,Torino F.C.,Torino Football Club,,,human,string,,label,UPDATE,PROPERTY_VALUE,2023-07-13 13:09:16+00:00
2,97041,1968761273,291481,Microcitrus australis,-1,label,Citrus australis,Microcitrus australis,,,human,string,,label,UPDATE,PROPERTY_VALUE,2023-09-05 21:40:36+00:00
2,97041,771197092,188459,Goldie Hawn,18,image,Goldie Hawn 2011.jpg,Goldie Hawn - 1970.jpg,,,human,string,,q188459$D6B23269-F424-481B-BF58-4E02909549F5,UPDATE,PROPERTY_VALUE,2018-10-23 13:36:03+00:00
2,97041,109360792,187976,The Familiar of Zero,-2,description,series of light novels,Japanese light novel series,,,human,string,,description,UPDATE,PROPERTY_VALUE,2014-02-13 18:31:43+00:00
2,97041,1954174321,297603,Nemanja Matić,1618,,8,6,,,human,string,,Q297603$C0569F84-14D1-4B17-BCB1-5528987E9FEB,UPDATE,PROPERTY_VALUE,2023-08-15 07:01:24+00:00
2,97041,2212105349,46929,Sovizzo,2186,,05I8790000,05M4360000,,,human,string,,Q46929$5C572FE3-8153-4088-B5CD-D66D088ADD37,UPDATE,PROPERTY_VALUE,2024-07-24 19:59:46+00:00
2,97041,1826487,222938,list of European countries by area,-1,label,Area and population of European countries,List of European countries in order of geographical area,,,bot,string,,label,UPDATE,PROPERTY_VALUE,2012-12-19 05:40:01+00:00
2,97041,414797950,298071,Hippodamus of Miletus,214,VIAF cluster ID,64803415,65318710,,,bot,string,,Q298071$626DA489-5659-4000-93BA-0AFA492FAC00,UPDATE,PROPERTY_VALUE,2016-12-07 21:15:43+00:00
2,97041,1008000842,324515,Ivan Dodig,555,doubles record,269–188,283–194,,,human,string,,q324515$EC8B5B42-609B-4BB6-A3A0-AF3EA144FB71,UPDATE,PROPERTY_VALUE,2019-09-04 13:29:23+00:00
2,97041,123895852,30916,Hurand,-2,description,town in Iran,city in Iran,,,human,string,,description,UPDATE,PROPERTY_VALUE,2014-04-30 06:02:25+00:00
2,97041,741523022,51900,Carlantino,214,VIAF cluster ID,242307206,147948662,,,bot,string,,Q51900$25A55283-FED1-4059-807B-EDF4D544FA66,UPDATE,PROPERTY_VALUE,2018-09-06 23:37:46+00:00
2,97041,1887347201,50745,Paris Métro Line 5,-2,description,"rapid transit line in Paris, France",Subway route in the French capital,,,human,string,,description,UPDATE,PROPERTY_VALUE,2023-05-02 10:32:23+00:00
3,110984,149536435,226661,Roth,-2,description,Wikipedia disambiguation page,Wikimedia disambiguation page,,,human,string,,description,UPDATE,PROPERTY_VALUE,2014-08-04 20:59:16+00:00
3,110984,312116299,268076,Morgan Lily,-2,description,American child actor and model,American child actress and model,,,human,string,,description,UPDATE,PROPERTY_VALUE,2016-03-12 13:37:39+00:00
3,110984,1938489364,143319,Bhupinder Singh of Patiala,373,,Bhupendra Singh Patiala,Bhupinder Singh of Patiala,,,human,string,,q143319$A64611E4-206B-48B7-8352-32D8F309106D,UPDATE,PROPERTY_VALUE,2023-07-21 22:03:37+00:00
3,110984,592116707,232448,Algebra,-2,description,Wikipedia disambiguation page,Wikimedia disambiguation page,,,bot,string,,description,UPDATE,PROPERTY_VALUE,2017-11-11 17:07:55+00:00
3,110984,197106788,293761,AIM-65,-2,description,1976 US microcumputer,1976 US microcomputer,,,human,string,,description,UPDATE,PROPERTY_VALUE,2015-02-16 01:25:07+00:00
3,110984,592131068,244551,Zwickel,-2,description,Wikipedia disambiguation page,Wikimedia disambiguation page,,,bot,string,,description,UPDATE,PROPERTY_VALUE,2017-11-11 17:39:50+00:00
3,110984,1111839705,156577,Bradford County,-2,description,county in the U.S. state of Florida,"county in Florida, United States",,,human,string,,description,UPDATE,PROPERTY_VALUE,2020-02-08 20:33:51+00:00
3,110984,1007351884,156418,Kingdom of Hawaiʻi,-2,description,"kingdom on the on the Hawaii Islands established during the years 1795 to 1810, overthrown in 1893–1894","kingdom on the on the Hawaiian Islands established during the years 1795 to 1810, overthrown in 1893–1894",,,anonymous,string,,description,UPDATE,PROPERTY_VALUE,2019-09-03 03:06:24+00:00
3,110984,592280317,294757,Airy,-2,description,Wikipedia disambiguation page,Wikimedia disambiguation page,,,bot,string,,description,UPDATE,PROPERTY_VALUE,2017-11-11 22:48:17+00:00
3,110984,245064649,18804,Rebecca Black,18,image,Rebecca Black in 2011.jpg,Rebecca Black by Gage Skidmore.jpg,,,human,string,,Q18804$6E46263D-9EA1-479A-B5F6-8C385074682D,UPDATE,PROPERTY_VALUE,2015-08-24 05:45:18+00:00
3,110984,1520928903,3540,Banten,41,flag image,Flag of Banten.png,Flag of Banten.svg,,,human,string,,q3540$77F98EAC-774F-4973-946B-3F781F639F59,UPDATE,PROPERTY_VALUE,2021-11-02 01:33:37+00:00
3,110984,1099601659,74398,Arndt von Bohlen und Halbach,18,image,"Bundesarchiv B 145 Bild-F010290-0005, Villa Hügel Essen, Präsident von Togo (retuschiert).jpg","Bundesarchiv B 145 Bild-F010290-0005, Villa Hügel Essen, Präsident von Togo (Arndt von Bohlen und Halbach).jpg",,,human,string,,Q74398$07F51C19-A506-4015-86BE-6B3FEE2ECE28,UPDATE,PROPERTY_VALUE,2020-01-16 20:57:15+00:00
3,110984,592468019,451723,Isengard,-2,description,Wikipedia disambiguation page,Wikimedia disambiguation page,,,bot,string,,description,UPDATE,PROPERTY_VALUE,2017-11-12 07:09:50+00:00
3,110984,592030209,93943,Marysin,-2,description,Wikipedia disambiguation page,Wikimedia disambiguation page,,,bot,string,,description,UPDATE,PROPERTY_VALUE,2017-11-11 13:40:36+00:00
3,110984,592366049,392282,Šrámek,-2,description,Wikipedia disambiguation page,Wikimedia disambiguation page,,,bot,string,,description,UPDATE,PROPERTY_VALUE,2017-11-12 02:43:29+00:00
4,11,239915430,35648,William Howard Taft,1157,US Congress Bio ID,no value,novalue,,,human,unknown-values,,Q35648$F8112840-5733-4AEE-A185-8A40AB0B6199,UPDATE,PROPERTY_VALUE,2015-08-11 04:25:53+00:00
4,11,239300347,1124,Bill Clinton,1157,US Congress Bio ID,no value,novalue,,,human,unknown-values,,Q1124$CCB215AF-1A5F-403B-9CA9-7C5F2C4D3D2F,UPDATE,PROPERTY_VALUE,2015-08-08 11:26:02+00:00
4,11,371400488,62599,Heinz Müller,214,VIAF cluster ID,no value,novalue,,,human,unknown-values,,Q62599$53773a22-4db8-9119-49ef-c19b7640855e,UPDATE,PROPERTY_VALUE,2016-08-30 19:45:01+00:00
