cluster_id,cluster_size,revision_id,entity_id,entity_label,property_id,property_label,old_value,new_value,old_value_label,new_value_label,user_type,datatype,change_target,value_id,action,target,timestamp
0,19812,341760134,315728,John Mills,1015,NORAF ID,x13036539,13036539,,,bot,string,,Q315728$F76F913C-A7C3-46E9-85C0-77CEB7E1F9C3,UPDATE,PROPERTY_VALUE,2016-05-30 16:46:39+00:00
0,19812,1158315245,127318,George III of Great Britain,1670,Canadiana Authorities ID (former scheme),0041H3308F,0041H3308,,,bot,string,,Q127318$69894120-0AFC-4B29-905A-6D338202EDBF,UPDATE,PROPERTY_VALUE,2020-04-15 20:31:46+00:00
0,19812,231044531,212564,Colombia men's national football team,646,Freebase ID,/m/032c08255,/m/032c08,,,human,string,,Q212564$18A71534-9988-4C90-B7B6-03699ABBB448,UPDATE,PROPERTY_VALUE,2015-07-15 08:13:28+00:00
0,19812,411829887,423046,chlorotrifluoromethane,679,ZVG number,031360,31360,,,bot,string,,Q423046$0205D767-2144-4776-BA7B-7C571035A209,UPDATE,PROPERTY_VALUE,2016-11-27 11:52:06+00:00
0,19812,2259746851,86220,Johannes Frischauf,6394,ELNET ID,a11916035,11916035,,,bot,string,,q86220$f3ba7ee4-406e-963e-69b3-9086bf32b02d,UPDATE,PROPERTY_VALUE,2024-10-12 22:23:17+00:00
0,19812,2259758743,213748,Arthur Rosenberg,6394,ELNET ID,a1193881x,1193881x,,,bot,string,,Q213748$8E6D14D2-5C9C-4DB0-975A-0D4041B5068A,UPDATE,PROPERTY_VALUE,2024-10-12 23:09:42+00:00
0,19812,2259751243,134982,David Lloyd George,6394,ELNET ID,a11544740,11544740,,,bot,string,,q134982$97f105de-40b5-957a-3f9a-18f85275e9e9,UPDATE,PROPERTY_VALUE,2024-10-12 22:40:35+00:00
0,19812,2259733053,12674,Rudolf Diesel,6394,ELNET ID,a11378918,11378918,,,bot,string,,q12674$f0281166-401e-4727-6cda-7144c0bd4ed4,UPDATE,PROPERTY_VALUE,2024-10-12 21:34:51+00:00
0,19812,2259738699,46602,Ivan Bunin,6394,ELNET ID,a11142157,11142157,,,bot,string,,Q46602$334F7302-E94C-47A8-BD75-4803AF86E094,UPDATE,PROPERTY_VALUE,2024-10-12 21:52:44+00:00
0,19812,2056959450,175106,Tim Hortons,2013,Facebook username,TimHortonsUS,TimHortons,,,anonymous,string,,Q175106$8e1efca4-4f23-5a90-a400-32f3f9fa04a7,UPDATE,PROPERTY_VALUE,2024-01-18 19:16:46+00:00
0,19812,2259761655,246091,Urban Hjärne,6394,ELNET ID,a11449184,11449184,,,bot,string,,q246091$2ebd664e-4d8f-2310-b89c-8ba4c901cfce,UPDATE,PROPERTY_VALUE,2024-10-12 23:21:12+00:00
0,19812,2176730565,407411,2-phenethylamine,715,DrugBank ID,DB04325,04325,,,bot,string,,Q407411$3E92AFBE-24DC-430E-B4C2-1C3DA22FEDB1,UPDATE,PROPERTY_VALUE,2024-06-11 22:25:35+00:00
0,19812,1158315218,128626,Louis St. Laurent,1670,Canadiana Authorities ID (former scheme),1013F0122F,1013F0122,,,bot,string,,Q128626$07AFC273-55A3-42D5-89B1-BE67DE6285CD,UPDATE,PROPERTY_VALUE,2020-04-15 20:31:40+00:00
0,19812,411826783,420701,methyl butyrate,679,ZVG number,028050,28050,,,bot,string,,Q420701$0D2EE4FD-081A-4258-89E6-8DD43BDF4BFB,UPDATE,PROPERTY_VALUE,2016-11-27 11:38:24+00:00
0,19812,2259760806,235014,Sophie Kinsella,6394,ELNET ID,a12198304,12198304,,,bot,string,,q235014$20a1bd3c-4e75-e0d8-a0a5-75cd964bd262,UPDATE,PROPERTY_VALUE,2024-10-12 23:17:44+00:00
1,110190,1798771152,132280,Seiji Maehara,18,image,Maehara Crop.jpg,Seiji Maehara 20221209teigen 1 (cropped 2).jpg,,,human,string,,Q132280$E23AA080-EE0E-47CD-B7AB-DDD231514808,UPDATE,PROPERTY_VALUE,2022-12-30 18:30:16+00:00
1,110190,2337586275,333832,Aulne Abbey,18,image,0 Gozée Aulne 050525 (2).JPG,Facade of the Aulne Abbey during golden hour (DSC 0123).jpg,,,human,string,,Q333832$83534C6D-1B2C-47FA-ACDB-B894CAED8FC9,UPDATE,PROPERTY_VALUE,2025-04-13 12:51:20+00:00
1,110190,1894598188,272438,Diane von Fürstenberg,18,image,Diane von Furstenberg 2011 Shankbone.JPG,Diane von Furstenberg Shankbone Metropolitan Opera 2009.jpg,,,human,string,,q272438$2F63C520-5448-4398-95D3-57BF30EE031D,UPDATE,PROPERTY_VALUE,2023-05-12 04:07:43+00:00
1,110190,197088309,262723,arrondissement of Rouen,242,locator map image,Arrondissement de Rouen.PNG,Seine-Maritime - Rouen arrondissement.svg,,,human,string,,q262723$ABF6F273-E83F-4747-ABDC-E5561DAF8BB7,UPDATE,PROPERTY_VALUE,2015-02-15 23:37:02+00:00
1,110190,1512824206,316587,Hans Friderichs,18,image,"Bundesarchiv B 145 Bild-F046797-0028, Mainz, FDP-Bundesparteitag, Friderichs.jpg",Hans Friderichs (cropped).jpg,,,anonymous,string,,Q316587$A50DAB60-D54D-48DC-B5C7-2372C989F088,UPDATE,PROPERTY_VALUE,2021-10-16 21:56:53+00:00
1,110190,1264736233,311641,Denílson de Oliveira,18,image,Tulio e Denilson no Treino do Itumbiara.JPG,Denílson de Oliveira Araújo 01.jpg,,,anonymous,string,,q311641$980C56DC-7287-4BF0-B262-48DF34418F2C,UPDATE,PROPERTY_VALUE,2020-08-24 23:29:50+00:00
1,110190,187126750,369813,Ubbergen,-2,description,municipality in the Netherlands,village,,,bot,string,,description,UPDATE,PROPERTY_VALUE,2015-01-11 00:01:07+00:00
1,110190,1741406010,244208,Tarsius pumilus,-1,label,Pygmy tarsier,Tarsius pumilus,,,human,string,,label,UPDATE,PROPERTY_VALUE,2022-10-02 18:52:28+00:00
1,110190,127273607,407374,Cronos,-1,label,Chronos (disambiguation),Cronos,,,human,string,,label,UPDATE,PROPERTY_VALUE,2014-05-09 13:42:08+00:00
1,110190,182694511,81214,sperm whale,-1,label,sperm whale,Physeter macrocephalus,,,human,string,,label,UPDATE,PROPERTY_VALUE,2014-12-22 06:21:53+00:00
