cluster_id,cluster_size,revision_id,entity_id,entity_label,property_id,property_label,old_value,new_value,old_value_label,new_value_label,user_type,datatype,change_target,value_id,action,target,timestamp
0,12182,210065620,355361,Sam Huntington,735,given name,Q18191037,Q13858350,,,bot,wikibase-entityid,,Q355361$973FA17A-1AE8-4661-B197-11ACA586FE93,UPDATE,PROPERTY_VALUE,2015-04-11 11:23:08+00:00
0,12182,253089688,92634,Niklas Zennström,21,sex or gender,Q6581097,Q6581072,male,female,anonymous,wikibase-entityid,,q92634$46C53777-A102-4A5A-9100-7B92EE526BB8,UPDATE,PROPERTY_VALUE,2015-09-21 21:17:30+00:00
0,12182,1043159097,250843,primogeniture,1269,facet of,Q19851041,Q12969135,,,bot,wikibase-entityid,,Q250843$ea46ef45-4009-8f91-6106-49d42f1b4e4d,UPDATE,PROPERTY_VALUE,2019-11-02 05:51:44+00:00
0,12182,2049089325,321638,Chick Hearn,509,cause of death,Q11620540,Q11637534,fall,falling from height,bot,wikibase-entityid,,Q321638$6dc47d8e-423e-4160-bb2c-8e5daa1648fc,UPDATE,PROPERTY_VALUE,2024-01-08 20:39:15+00:00
0,12182,436950071,386768,Lê Quan Ninh,106,occupation,Q17344998,Q12804204,,,bot,wikibase-entityid,,Q386768$E594A4BE-E460-4EDC-9354-712F6A7D1CED,UPDATE,PROPERTY_VALUE,2017-01-27 16:32:07+00:00
0,12182,1680074509,452250,Gentleman,735,given name,Q69515151,Q1408454,,Tilmann,human,wikibase-entityid,,Q452250$91E1FD09-918E-4B8C-A8DD-50B83C276D97,UPDATE,PROPERTY_VALUE,2022-07-17 07:26:32+00:00
0,12182,69203057,44473,O. J. Simpson,21,sex or gender,Q6581097,Q639354,male,Female,anonymous,wikibase-entityid,,q44473$8F28CAF8-0F33-4436-92F7-5A5C11FFE4CF,UPDATE,PROPERTY_VALUE,2013-09-08 21:22:49+00:00
0,12182,1883095447,504,Émile Zola,1196,manner of death,Q171558,Q21142718,accident,accidental death,bot,wikibase-entityid,,Q504$54005D5F-070C-4160-926A-F5FE27BD5224,UPDATE,PROPERTY_VALUE,2023-04-26 18:23:07+00:00
0,12182,102969234,95438,Jürgen Brähmer,106,occupation,Q15622419,Q13382286,,,bot,wikibase-entityid,,Q95438$CF8317CC-C057-4F17-8106-373B560A5565,UPDATE,PROPERTY_VALUE,2014-01-17 22:26:16+00:00
0,12182,1836114726,228787,Jada Pinkett Smith,101,field of work,Q92186587,Q25499783,,,bot,wikibase-entityid,,Q228787$57B780AD-B68C-4A6C-AC18-C20505368468,UPDATE,PROPERTY_VALUE,2023-02-18 01:16:16+00:00
0,12182,1788173727,350497,Peter Hänsel,27,country of citizenship,Q40,Q131964,Austria,Austrian Empire,human,wikibase-entityid,,Q350497$36217A04-1CC2-4AE9-B2E2-D465BF1DC33D,UPDATE,PROPERTY_VALUE,2022-12-11 22:44:26+00:00
0,12182,1353086270,296724,Mahmoud Jibril,39,position held,Q89513904,Q4434734,,,bot,wikibase-entityid,,Q296724$dae8e50e-4d94-a7d0-500e-e94364134443,UPDATE,PROPERTY_VALUE,2021-02-02 07:26:01+00:00
0,12182,222490426,434344,Tanja Karišik-Košarac,735,given name,Q16428783,Q12643327,,,bot,wikibase-entityid,,Q434344$64BA2940-4653-4E80-A6E7-7EA13D6BD936,UPDATE,PROPERTY_VALUE,2015-06-14 23:21:53+00:00
0,12182,920244777,80228,bottle,279,subclass of,Q57239348,Q16896124,,,bot,wikibase-entityid,,q80228$b3ac1a9d-49d0-9284-9c73-58827109f68e,UPDATE,PROPERTY_VALUE,2019-04-20 20:51:48+00:00
0,12182,236892709,208588,Eurydice,31,instance of,Q15410431,Q13127686,,,bot,wikibase-entityid,,Q208588$463BAE3D-F7E6-4968-84F5-14C982877260,UPDATE,PROPERTY_VALUE,2015-07-28 03:39:00+00:00
1,282927,921632019,5664,Fra Angelico,106,occupation,Q2259532,Q63253698,cleric,dominican friar,human,wikibase-entityid,,Q5664$959BE3FC-1C14-430F-AD7A-CDF149D351C7,UPDATE,PROPERTY_VALUE,2019-04-22 08:39:48+00:00
1,282927,955613851,314492,Ragnar Lothbrok,53,family,Q1075161,Q913138,House of Munsö,Yngling,human,wikibase-entityid,,Q314492$3C9CB45B-F5DA-4909-A8B5-8C7DD84EC66A,UPDATE,PROPERTY_VALUE,2019-06-04 22:49:38+00:00
1,282927,1091369088,420319,"Francisco Javier Castaños, 1st Duke of Bailén",97,noble title,Q166886,Q58481980,duke,duque,human,wikibase-entityid,,Q420319$d3a4becd-4731-450b-91c7-776ee69714d0,UPDATE,PROPERTY_VALUE,2020-01-05 01:56:34+00:00
1,282927,54159677,31206,Common Flamebacked Woodpecker,74,,Q5278600,Q148764,,Dinopium,human,wikibase-entityid,,q31206$DB1120AE-0102-49A4-88A8-DC2FD0C00F77,UPDATE,PROPERTY_VALUE,2013-07-04 09:32:55+00:00
1,282927,745829938,372657,Credit Suisse,452,industry,Q1548025,Q837171,retail banking,financial services,bot,wikibase-entityid,,Q372657$a61abc5d-4bd7-1a57-541c-2312d7054067,UPDATE,PROPERTY_VALUE,2018-09-14 09:17:05+00:00
1,282927,50318369,49111,Cambridge,131,located in the administrative territorial entity,Q771,Q54073,Massachusetts,Middlesex County,human,wikibase-entityid,,q49111$593D8E5F-745B-4FD2-A048-CD151891E659,UPDATE,PROPERTY_VALUE,2013-06-12 19:14:26+00:00
1,282927,1243540818,103047,Rolf Wiggershaus,106,occupation,Q16287483,Q6051619,,opinion journalist,bot,wikibase-entityid,,Q103047$D57CE513-6F8B-4984-92A2-895CADB512A2,UPDATE,PROPERTY_VALUE,2020-08-01 00:07:04+00:00
1,282927,26016333,312112,Cosmic Gate,107,,Q215627,Q43229,person,organization,bot,wikibase-entityid,,q312112$D0905B53-E1FD-4C22-BC64-DC2969BA2D78,UPDATE,PROPERTY_VALUE,2013-04-16 22:24:41+00:00
1,282927,1188566664,355926,Letov Š-31,279,subclass of,Q216916,Q18491037,military aircraft,biplane fighter,human,wikibase-entityid,,Q355926$10C04204-EF3F-402A-8864-0572EA21BB42,UPDATE,PROPERTY_VALUE,2020-05-24 03:14:09+00:00
1,282927,7080362,9358,Friedrich Nietzsche,106,occupation,Q2489642,Q4964182,list of philosophers,philosopher,human,wikibase-entityid,,q9358$CAB96E80-F494-4E8C-9EA8-5AFD52C0E123,UPDATE,PROPERTY_VALUE,2013-02-19 22:23:08+00:00
1,282927,943875051,467101,Twenty Bucks,2061,aspect ratio (W:H),Q21037379,Q752245,1.44:1,widescreen,bot,wikibase-entityid,,Q467101$8902C6CD-F04A-434D-83D6-667E0008DE11,UPDATE,PROPERTY_VALUE,2019-05-17 22:03:10+00:00
1,282927,21978972,52766,Bundesstraße 110,31,instance of,somevalue,Q561431,,Bundesstraße,human,wikibase-entityid,,q52766$EDA7B982-7E7A-4852-A339-39C36B0EB143,UPDATE,PROPERTY_VALUE,2013-04-07 06:35:56+00:00
1,282927,1699912245,26974,Sylvia communis,171,parent taxon,Q12814009,Q1293045,Curruca,Sylvia,human,wikibase-entityid,,Q26974$D0231960-1049-445B-AB4D-4818B4253FA1,UPDATE,PROPERTY_VALUE,2022-08-09 07:01:39+00:00
1,282927,1786748795,434040,Pierre Petit,20,place of death,Q90,Q201982,Paris,Clichy,human,wikibase-entityid,,q434040$9c24cc3f-4cf5-283e-252c-96f8b15aa21d,UPDATE,PROPERTY_VALUE,2022-12-08 15:11:54+00:00
1,282927,802159675,444451,City of Golden Shadow,31,instance of,Q571,Q47461344,book,written work,human,wikibase-entityid,,q444451$32E1455B-A328-445C-96C9-A00314BC2AE4,UPDATE,PROPERTY_VALUE,2018-11-30 04:09:05+00:00
2,72,1094107677,153597,Lee Taemin,463,member of,Q15904784,Q66710876,Super M,SuperM,human,wikibase-entityid,,Q153597$6287a907-46d4-b055-b1fd-fb6a468282a0,UPDATE,PROPERTY_VALUE,2020-01-08 23:00:17+00:00
2,72,1561013298,36215,Mark Zuckerberg,166,award received,Q858637,Q110530811,Big Brother Awards,BigBrotherAwards,human,wikibase-entityid,,Q36215$5688f9ec-4f33-c1dc-a8aa-e51dc48dc9cf,UPDATE,PROPERTY_VALUE,2022-01-12 10:44:30+00:00
2,72,1561004363,146138,Bundesrat,166,award received,Q858637,Q110530811,Big Brother Awards,BigBrotherAwards,human,wikibase-entityid,,Q146138$4F3190ED-E5A2-41AE-9571-07682A2CA4DA,UPDATE,PROPERTY_VALUE,2022-01-12 10:19:36+00:00
2,72,269817670,137935,Lawrence Duhé,19,,Q3211681,Q2279189,La Place,LaPlace,human,wikibase-entityid,,Q137935$3e03a5cb-4d04-a2fa-9cb9-1a5473364c72,UPDATE,PROPERTY_VALUE,2015-11-08 01:21:59+00:00
