id,label
7,brother
9,sister
11,state
12,province
28,county
29,uncle
32,region
33,settlement
34,prefecture
43,stepfather
44,stepmother
45,grandparent
46,head of national government
48,anthem sound file
49,demonym
55,Former member of sports team
60,astronomical object
62,image
68,Municipality / Gemeinde/ Commune
70,order
71,family
74,genus
75,kingdom (taxonomy)
76,phylum
77,class
82,Ward
83,city
89,species
90,high school
93,department
96,natural satellite
99,Planets
100,Member state
107,Main type of item (entity) / Art des Objekts / Type principal
116,Host galaxy
132,type of administrative division
133,Language family
134,has dialect
139,aunt
160,affiliation
164,railway alliance
165,Owner
168,structure type
173,type of election
198,ship builder
202,lake type
222,frozen
224,lake_sections
265,lake group
266,Buried here
273,domain
280,languages first book
283,language group
284,language subgroup
285,language branch
288,watercraft type
295,mountain range
302,mountain type
357,title
378,time zone
387,quote
388,Singles
392,subtitle
394,taxon author
438,inscription
448,launch site
482,support actor/actress
510,brother-in-law (sister's husband)
513,birth name
526,Island
540,venue
558,unit symbol
596,cardinal direction
614,archipelago
616,CHRC
623,Crew photo
643,Genloc Chr
719,notable incident
727,Europeana ID
728,GHS hazard statement
738,influenced
743,short name
766,event location
794,as
796,geo datum
883,FIPS 5-2 (code for US states)
907,AMG Game ID
940,GHS precautionary statements
969,street address
992,Function/Mission
1076,ICTV virus ID
1112,Pokédex number
1118,tennis singles ranking
1119,tennis doubles ranking
1124,teu
1130,doubles titles
1131,singles titles
1134,located in place
1169,Impact factor
1222,NARA person ID
1223,NARA organization ID
1224,NARA geographic ID
1226,NARA specific records type ID
1228,Philippine Standard Geographic Code ID
1231,NARA catalogue record ID
1244,phone number (URL)
1298,workplace
1306,China railway station telecode
1361,Anime News Network ID
1384,Oxford Biography Index Number
1413,SFDb ID
1432,b-side
1569,number of edges
1570,number of vertices
1572,première date
1597,Slovene Cultural Heritage designation
1623,MarineTraffic Ship ID
1646,mandatory qualifier
1655,station number
1658,number of faces
1688,AniDB ID
1698,Gray's Anatomy 1918 subject
1773,attributed to
1790,BioStor author identifier
1805,WHO INN
1849,SSR WrittenForm ID
1858,Wikidata example string
1859,Wikidata example item
1862,Wikidata example quantity
1863,Wikidata example property value
1864,Wikidata example monolingual text
1865,Wikidata example geographic coordinates
1905,FundRef registry name
1946,National Library of Ireland authority ID
1962,patron
1964,sort key
1969,MovieMeter director ID
1996,parliament.uk biography pages
2035,LinkedIn personal profile URL
2086,CDD Public ID
2157,lithography
2215,proper motion
2237,units used for this property
2422,number of awards
2439,language
2466,judicial sentence
2570,Saros cycle of eclipse
2580,Baltisches Biographisches Lexikon digital ID (former scheme)
2608,Valencian Property of Local Relevance id
2617,formatterURL for Wikidata ID
2656,FIFA World Ranking
2690,New York Times Semantic Concept
2691,New York Times Semantic Concept
2692,New York Times Semantic Concept
2693,New York Times Semantic Concept
2731,Projeto Excelências ID
2837,Wikidata month number
2874,PubChem BioAssay ID (AID)
3043,scoresway soccer person id
3084,allowed freedom of panorama
3188,Nobel biography ID
3214,Onisep occupation ID
3231,Mediaarts-DB ID
3384,Denkmalliste Brandenburg
3484,name shares origin with
3623,BadmintonLink ID
3649,IDEAS person ID
3688,ICF sprint canoer ID
3717,MEROPS ID
3722,Commons map category
3809,YerelNET district ID
3905,GINCO ID
3917,Número de orden en el AFI
4039,IDs from Rock.com.ar
4205,Foursquare username
4210,Bashkir encyclopedia (Bashkir version) ID
4211,Bashkir encyclopedia (Russian version) ID
4280,International Standard Text Code
4420,VNDB ID
4497,IDs on some music streaming services and stores
4547,OKS ID
4570,wikidata project
4603,IDs on some music streaming services and stores
