cluster_id,cluster_size,revision_id,entity_id,entity_label,property_id,property_label,old_value,new_value,old_value_label,new_value_label,user_type,datatype,change_target,value_id,action,target,timestamp
0,124454,1285987922,309495,Crocodylus,18,image,Persiancrocodile.jpg,PK Kirthar NP asv2020-02 img25.jpg,,,human,string,,Q309495$CBF276B8-2B70-439F-A504-7A7DBB8ACB59,UPDATE,PROPERTY_VALUE,2020-10-03 15:44:41+00:00
0,124454,1027131088,119498,Valle de la Luna,-2,description,valley,Geographical feature in Chile,,,human,string,,description,UPDATE,PROPERTY_VALUE,2019-10-06 23:16:49+00:00
0,124454,989418932,326487,We Will Rock You,-2,description,1977 Queen song,original song written and composed by Brian May,,,human,string,,description,UPDATE,PROPERTY_VALUE,2019-07-30 21:05:27+00:00
0,124454,339639706,782,Hawaii,242,,Map of Hawaii NA.png,Hawaii in United States (US50).svg,,,anonymous,string,,q782$1EAD14F9-7864-4992-870B-820798D80825,UPDATE,PROPERTY_VALUE,2016-05-23 15:27:25+00:00
0,124454,1936536552,375796,Joshua Dolgin,-2,description,Canadian rapper,Canadian Klezmer musician and DJ,,,human,string,,description,UPDATE,PROPERTY_VALUE,2023-07-18 03:10:06+00:00
0,124454,1497374594,380033,Aleksandar Đorđević,18,image,Sasha Djordjevic.JPG,Aleksandar Đorđević Fenerbahçe Basketball 20210913 (1) (cropped).jpg,,,human,string,,Q380033$9A67384A-4237-4D01-80AE-59B1100DFD44,UPDATE,PROPERTY_VALUE,2021-09-13 19:14:35+00:00
0,124454,1273100341,272642,Tessa Jowell,2171,,tessa_jowell,10326,,,human,string,,Q272642$5EB3CA20-8B83-4675-B7F4-99CDC8C6C5BB,UPDATE,PROPERTY_VALUE,2020-09-07 14:11:23+00:00
0,124454,923823413,1063,evolution,3553,,https://www.wikidata.org/wiki/Q5113,https://www.zhihu.com/topic/19551284,,,human,string,,Q1063$09bdccd6-4bbc-8f50-c55d-87dea9ad21d4,UPDATE,PROPERTY_VALUE,2019-04-24 19:28:34+00:00
0,124454,2043770168,1223,Washington,18,image,ISS032-E-24794 - View of Washington.jpg,"Mount Rainier from Clear Lake, Washington.jpg",,,human,string,,Q1223$51724f13-43c1-25d7-98db-2d962a0e929c,UPDATE,PROPERTY_VALUE,2024-01-02 23:17:25+00:00
0,124454,507928613,261496,Barent Fabritius,18,image,Fabritius - van der Helm.jpg,Barent Fabritius - Self-portrait as John the Evangelist.jpg,,,human,string,,Q261496$8EB40BC9-33A8-4114-8616-4E77C136E085,UPDATE,PROPERTY_VALUE,2017-06-27 08:14:02+00:00
0,124454,634174958,337681,Grigor Dimitrov,18,image,"Grigor Dimitrov, The Boodles, Stoke Park, 2013.jpg",Dimitrov WM16 (67) (28385960076).jpg,,,human,string,,Q337681$8A8CD2DF-FD90-4E60-B051-2B1EF908F4C9,UPDATE,PROPERTY_VALUE,2018-02-19 19:31:21+00:00
0,124454,800496551,182449,NKVD,-2,description,People's Commissariat for Internal Affairs of the USSR,secret police of the Soviet Union,,,human,string,,description,UPDATE,PROPERTY_VALUE,2018-11-27 22:30:10+00:00
0,124454,264687465,289358,Étienne Barbazan,-2,description,human,french philologist,,,bot,string,,description,UPDATE,PROPERTY_VALUE,2015-10-30 09:13:34+00:00
0,124454,264673906,99183,Leonhard Christoph Sturm,-2,description,human,german mathematician,,,bot,string,,description,UPDATE,PROPERTY_VALUE,2015-10-30 08:55:38+00:00
0,124454,264674541,100736,Andreas Sander,-2,description,human,german alpine skier,,,bot,string,,description,UPDATE,PROPERTY_VALUE,2015-10-30 08:56:03+00:00
1,202422,1971701377,46408,Georgia O'Keeffe,1695,,A12729735,a0000001272973,,,bot,string,,Q46408$9116958c-77ba-4071-81ea-9953cfd8bc2f,UPDATE,PROPERTY_VALUE,2023-09-10 12:30:38+00:00
1,202422,509945670,217659,Eurostat,227,,2149218-9,236342-2,,,bot,string,,Q217659$35B52DF4-79F8-4389-B468-362664A42BAD,UPDATE,PROPERTY_VALUE,2017-06-29 21:51:07+00:00
1,202422,1971739190,77436,Jakob Friedrich Fries,1695,,A12017140,a0000001201714,,,bot,string,,Q77436$6427FB6A-0117-4174-B65D-32AB678E6B50,UPDATE,PROPERTY_VALUE,2023-09-10 13:49:19+00:00
