revision_id,entity_id,value_id,property_id,change_target,property_label,old_value,old_value_label,new_value,new_value_label,label
2909,215,description,-2,,description,"""a country in Europe""",,"""A country in Europe.""",,formatting
126187,1645,description,-2,,description,"""a city in the Philippines""",,"""A city in the Philippines.""",,formatting
217706,1641,label,-1,,label,"""Hamburg-Bergstedt""",,"""Bergstedt""",,unrefinement
256994,3569,description,-2,,description,"""Rivesr in West Africa""",,"""River in West Africa""",,
294524,8445,label,-1,,label,"""Mariage""",,"""Marriage""",,typo
295724,8678,description,-2,,description,"""City in Brasil""",,"""City in Brazil""",,typo
315365,11254,description,-2,,description,"""a tabular display of the chemical elements""",,"""a crystalline mineral that is composed primarily of sodium chloride (NaCl)""",,value correction
328815,12892,label,-1,,label,"""Antwerpen""",,"""Antwerp""",,language standardization
330124,13141,description,-2,,description,"""A bone of the carpus of the hand.""",,"""A bone of the carpus.""",,unrefinement
330436,10024,description,-2,,description,"""a municipality in the Netherlands""",,"""A municipality in the Netherlands.""",,formatting
330993,13235,label,-1,,label,"""Udihe language""",,"""Udege language""",,language standardization
346985,14997,label,-1,,label,"""Achille Van Acker""",,"""Achiel Van Acker""",,language standardization
375851,15968,label,-1,,label,"""Santa Margarita de Montbuy""",,"""Santa Margarita de Montbui""",,language standardization
382284,18942,label,-1,,label,"""Western Seram Regency""",,"""West Seram Regency""",,none
382286,18942,description,-2,,description,"""Western Seram Regency is a regency of Maluku Province, Indonesia.""",,"""West Seram Regency is a regency of Maluku Province, Indonesia.""",,none
383578,19193,description,-2,,description,"""Interstate highway""",,"""Interstate Highway""",,formatting
444178,13356,label,-1,,label,"""Mazandarani language""",,"""Mazanderani language""",,language standardization
472075,597,description,-2,,description,"""Capital of Portugal""",,"""capital city of Portugal""",,
474094,676,description,-2,,description,"""A form of language which applies ordinary grammatical structure and natural flow of speech rather than rhythmic structure""",,"""a form of language which applies ordinary grammatical structure and natural flow of speech rather than rhythmic structure""",,formatting
475972,847,description,-2,,description,"""A ball game.""",,"""a ball game""",,formatting
476350,992,description,-2,,description,"""Dutch a city in the province of Utrecht""",,"""Dutch city in the province of Utrecht""",,typo
483132,1097,description,-2,,description,"""The main railway station of Berlin.""",,"""the main railway station of Berlin""",,formatting
483684,1146,description,-2,,description,"""A hypothetical chemical element with atomic number 120""",,"""the hypothetical element with the atomic number of 120""",,formatting
483774,1192,description,-2,,description,"""An Italian-born French composer""",,"""Italian-born French composer""",,formatting
529413,11068,label,-1,,label,"""Circulatory system""",,"""circulatory system""",,formatting
530542,11387,label,-1,,label,"""Open cluster""",,"""open cluster""",,formatting
530876,7974,description,-2,,description,"""Cat breed""",,"""cat breed""",,formatting
531780,11788,label,-1,,label,"""Bear""",,"""bear""",,formatting
575175,11080,description,-2,,description,"""Jember Regency is a regency of East Java Province, Indonesia.""",,"""regency of East Java Province, Indonesia""",,unrefinement
644579,36662,label,-1,,label,"""Gia Lai province""",,"""Gia Lai""",,unrefinement
709296,133,description,-2,,description,"""Voting system""",,"""voting system""",,formatting
741206,16667,label,-1,,label,"""Fronalpstock (Glarus)""",,"""Fronalpstock""",,unrefinement
1328392,10630,label,-1,,label,"""Dwarf tarantula""",,"""dwarf tarantula""",,formatting
1691546,3795,description,-2,,description,"""In English, the term Kalimantan refers to the Indonesian portion of the island of Borneo, while in Indonesian, the term \""Kalimantan\"" refers to the whole island of Borneo.""",,"""Indonesian portion of the island of Borneo or the whole island of Borneo""",,unrefinement
1869972,11985,label,-1,,label,"""Symphony No. 9 (Dvořák)""",,"""Symphony No. 9""",,unrefinement
2480687,29401,description,-2,,description,"""An Eastern Indo-Aryan language used mainly in the state of Assam in North-East India""",,"""Eastern Indo-Aryan language used mainly in the state of Assam in North-East India""",,formatting
2494309,6610,description,-2,,description,"""A city in eastern Russia""",,"""city in eastern Russia""",,formatting
2529039,3183,description,-2,,description,"""capital and largest city of Western Australia""",,"""capital city of Western Australia""",,unrefinement
2532287,7298,description,-2,,description,"""A Czech composer""",,"""Czech composer""",,formatting
2534873,7348,description,-2,,description,"""a river in Asia""",,"""river in Asia""",,formatting
2849554,8042,description,-2,,description,"""Bengkulu City is a city of Bengkulu Province, Indonesia.""",,"""city of Bengkulu Province, Indonesia""",,unrefinement
2851370,8153,description,-2,,description,"""West Lampung Regency is a regency of Lampung Province, Indonesia.""",,"""regency of Lampung Province, Indonesia""",,unrefinement
