"revision_id","entity_id","entity_label","value_id","change_target","property_id","property_label","old_value","old_value_label","new_value","new_value_label","datatype","action","target","entity_types_31","entity_description","new_value_description","old_value_description","label","entity_types_279"
"532639843","154137","8.8 cm Flak 18/36/37/41","Q154137$4C7729BA-97A0-4E92-A91B-03A745A47DA8","","729","service entry","""+1936-01-01T00:00:00Z""",NULL,"""+1932-00-00T00:00:00Z""",NULL,"time","UPDATE","PROPERTY_VALUE","anti-aircraft gun, artillery model","anti-aircraft warfare",NULL,NULL,"property_value_update","anti-aircraft gun"
"1662108749","400287","Order of the White Elephant","Q400287$B29FBC9F-E725-4979-8123-1703A1241FEA","","571","inception","""+1861-12-05T00:00:00Z""",NULL,"""+1861-00-00T00:00:00Z""",NULL,"time","UPDATE","PROPERTY_VALUE","order of chivalry","Thai award",NULL,NULL,"unrefinement",NULL
"2099349432","467803","Yaa Asantewaa","Q467803$0776AF3F-5ECD-4A70-AFC3-10F678A8F43A","","569","date of birth","""+1840-01-01T00:00:00Z""",NULL,"""+1832-00-00T00:00:00Z""",NULL,"time","UPDATE","PROPERTY_VALUE","human","Ashanti Queen Mother and military leader",NULL,NULL,"property_value_update",NULL
"1077491532","9903","Ming dynasty","Q9903$49710FFA-6E5C-4C07-86A1-D6A314B479B1","","571","inception","""+1368-01-01T00:00:00Z""",NULL,"""+136-00-00T00:00:00Z""",NULL,"time","UPDATE","PROPERTY_VALUE","culture, historical Chinese state, historical period, sovereign state, style","imperial dynasty of China from 1368 to 1644",NULL,NULL,"property_value_update",NULL
"2098273529","60215","Bernhardus Varenius","Q60215$91CECDCB-A89E-4034-9DDC-00C53790CA0F","","570","date of death","""+1650-01-01T00:00:00Z""",NULL,"""+1653-00-00T00:00:00Z""",NULL,"time","UPDATE","PROPERTY_VALUE","human","German geographer",NULL,NULL,"property_value_update",NULL
"2275114523","102469","Abaza","Q102469$E20E7286-C271-475D-8C63-CE3AC2468702","","571","inception","""+1867-01-01T00:00:00Z""",NULL,"""+1856-00-00T00:00:00Z""",NULL,"time","UPDATE","PROPERTY_VALUE",", administrative divisions of Russia, city, city of federal subject significance of Russia, hamlet, human settlement, small city, village, work settlement of Russia","town in Russia",NULL,NULL,"property_value_update",NULL
"196236252","340210","Province of Saxony","Q340210$58024A55-689E-4948-8788-4BE431EB9766","","571","inception","""+1816-01-01T00:00:00Z""",NULL,"""+1815-00-00T00:00:00Z""",NULL,"time","UPDATE","PROPERTY_VALUE","provinces of Prussia","province of Prussia",NULL,NULL,"property_value_update",NULL
"1145222537","448941","Lucy Walker","Q448941$8D8CE32D-4843-435F-9661-873AC3459B7D","","569","date of birth","""+1835-01-01T00:00:00Z""",NULL,"""+1836-00-00T00:00:00Z""",NULL,"time","UPDATE","PROPERTY_VALUE","human","English climber (1836-1916)",NULL,NULL,"property_value_update",NULL
"832210776","95200","Matthäus Prätorius","Q95200$62351C11-8210-4A80-9E16-6CB993A13AE2","","569","date of birth","""+1630-01-01T00:00:00Z""",NULL,"""+1635-00-00T00:00:00Z""",NULL,"time","UPDATE","PROPERTY_VALUE","human","German historian",NULL,NULL,"property_value_update",NULL
"473883163","312384","Francisco de Vitoria","Q312384$7E9A081B-4002-4617-9110-27F49BED2D95","","569","date of birth","""+1460-01-01T00:00:00Z""",NULL,"""+1483-00-00T00:00:00Z""",NULL,"time","UPDATE","PROPERTY_VALUE","human","Spanish philosopher",NULL,NULL,"property_value_update",NULL
