revision_id,entity_id,entity_label,value_id,change_target,property_id,property_label,old_value,old_value_label,new_value,new_value_label,datatype,action,target,main_entity_type,latest_description,new_value_description,old_value_description,label,subclass_of_main_entity
1384570727,310894,Bobby McFerrin,Q310894$2922c249-4613-e0cd-c30e-9c86571ecfae,,136,genre,"""Q19351429""",a cappella group,"""Q185298""",a cappella,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""American jazz vocalista and composer""","""group or solo singing without instrumental sound""",vocal group that sing with little or no instruments,link_change,
6522419,134165,Oscar Niemeyer,q134165$DB54CCC8-87E9-42FF-9492-9D084EB1383E,,19,place of birth,"""Q475557""",SS Rio de Janeiro,"""Q41428""",Rio de Janeiro,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Brazilian architect (1907–2012)""","""state in the Southeast Region of Brazil""",cargo steamship,link_change,
2176046314,4496,Mitt Romney,Q4496$80263C1B-9B9C-4DF2-8D3E-7926F050F321,,3602,candidacy in election,"""Q17100322""",2012 United States presidential election in Pennsylvania,"""Q4226""",2012 United States presidential election,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""American politician and businessman (born 1947)""","""57th quadrennial U.S. presidential election""",selection of Pennsylvania's presidential electors,unrefinement,
308150846,192611,electoral unit,Q192611$7484fdbe-419f-216d-a52c-7cdab2a88167,,279,subclass of,"""Q15642566""",non-political administrative territorial entity,"""Q56061""",administrative territorial entity,wikibase-entityid,UPDATE,PROPERTY_VALUE,"administrative territorial entity, political territorial entity","""territorial division made or used for elections""","""territorial entity for administration purposes, with or without its own local government""",country subdivision that does not have its own government and exists only for administrative purposes,unrefinement,
177863587,92114,Alexander Pagenstecher,Q92114$08182FC2-9C7B-4048-8B66-6C688A41DCD5,,1196,manner of death,"""Q18012374""",hunting accident,"""Q171558""",accident,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""German ophthalmologist (1828–1879)""","""unforeseen event that causes damage to a person or property""",type of accident,unrefinement,
1551230610,312391,Philippe Leclerc de Hauteclocque,Q312391$7309b82c-4234-fd50-5307-36d9c55430b6,,1196,manner of death,"""Q2822702""",General Leclerc's aviation accident,"""Q171558""",accident,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""French general""","""unforeseen event that causes damage to a person or property""",1947 aviation accident involving a North American B-25 Mitchell aircraft,unrefinement,
1838488742,299949,Ellen Andrée,q299949$D1E70AE0-B264-4A0D-A73B-BFAD594EB400,,19,place of birth,"""Q2845754""",former 3rd arrondissement of Paris,"""Q223140""",3rd arrondissement of Paris,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Model for Degas and others""","""one of the 20 administrative districts of Paris, France""","one of the 12 administrative districts of Paris, France, before 1860",link_change,
1159515645,102991,Travo,q102991$18683E48-A3F2-4B45-A58E-C6756A1CF236,,47,shares border with,"""Q102840""",Pecorara,"""Q47007923""",Alta Val Tidone,wikibase-entityid,UPDATE,PROPERTY_VALUE,commune of Italy,"""Italian comune""",Italian comune,"""Italian comune""",unrefinement,
220751818,298897,R600,label,,-1,label,"""R600 (ASIC)""",,"""R600""",,string,UPDATE,PROPERTY_VALUE,,"""series of video cards""",,,unrefinement,
11994972,159,Russia,q159$5C85A62B-2DF6-4344-9B8E-D0E637969CC9,,150,contains the administrative territorial entity,"""Q2469395""",Historical Bashkortostan,"""Q5710""",Bashkortostan,wikibase-entityid,UPDATE,PROPERTY_VALUE,"country, federation, secular state, sovereign state, successor state, transcontinental country","""country in Eastern Europe and Northern Asia""","""federal subject of Russia""",Historical area,link_change,
8995315,302252,Checkered pupfish,q302252$031A3939-51E9-4F04-9A21-E467A43709ED,,183,endemic to,"""Q2776455""",Mexico Pavilion,"""Q96""",Mexico,wikibase-entityid,UPDATE,PROPERTY_VALUE,taxon,"""species of pupfish""","""country in North America""",pavilion of World Showcase in Epcot,link_change,
6106183,144,dog,q144$79BD0B10-8A55-4CC2-ABC5-0C1C0ACC9C06,,31,instance of,"""Q3367089""",Pet Airways,"""Q39201""",pet,wikibase-entityid,UPDATE,PROPERTY_VALUE,"domesticated mammal, organisms known by a particular common name, pet","""domestic animal""","""animal kept for companionship and a person's enjoyment""",American company specializing in the transportation of pets,link_change,
1536600404,3680,Krasnodar Krai,Q3680$29f2dbbf-40e4-c969-015e-4ac2926a7d7d,,47,shares border with,"""Q31354462""",Republic of Abkhazia,"""Q23334""",Abkhazia,wikibase-entityid,UPDATE,PROPERTY_VALUE,"federal subject of Russia, krai of Russia","""administrative division (krai) in the North Caucasus region of southern Russia""","""dispute region in the South Caucasus""",state with limited recognition in the Caucasus,link_change,
234735984,31431,Psittaciformes,label,,-1,label,"""parrot""",,"""Psittaciformes""",,string,UPDATE,PROPERTY_VALUE,taxon,"""order of birds""",,,property_value_update,
1792698277,45659,Laure Manaudou,Q45659$E79E4E81-7B0E-4CAD-9067-63A1622F7555,,1344,participant in,"""Q3879561""",swimming at the 2004 Summer Olympics – women's 100 metre backstroke,"""Q8558""",2004 Summer Olympics,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""French swimmer""","""Games of the XXVIII Olympiad, in Athens, Greece""",swimming event,unrefinement,
13369953,315063,Dieter Bast,q315063$55D7FBDB-E600-4BEC-8C64-5D77FCA5C46E,,54,member of sports team,"""Q812128""",Bayer 04 Leverkusen Women,"""Q104761""",Bayer 04 Leverkusen,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""German footballer (born 1951)""","""association football club in Leverkusen, Germany""",German women's football club,link_change,
1416378777,270839,Mikoyan-Gurevich MiG-9,q270839$1EB5052A-4933-43A9-9D89-9C7D16088A85,,31,instance of,"""Q15056993""",aircraft family,"""Q11436""",aircraft,wikibase-entityid,UPDATE,PROPERTY_VALUE,"aircraft model, first-generation jet fighter, single-seat fighter","""fighter aircraft family; first jet-powered MiG""","""machine that is able to fly by gaining support from the air other than the reactions of the air against the earth’s surface""",group of related aircraft models sharing the same basic design,link_change,
1843879418,316327,José Maria de Eça de Queirós,Q316327$E56E2F1A-86A3-45B0-B384-1647CAF844AA,,734,family name,"""Q99981076""",de Albuquerque (family name),"""Q16146839""",Albuquerque,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Portuguese writer and diplomat (1845–1900)""",family name,family name,link_change,
1428270890,206890,Carrie-Anne Moss,Q206890$4ff2777b-4ba1-0087-1f33-5b72ef6f7963,,735,given name,"""Q85750778""",Carrie-Anne,"""Q106967672""",Carrie-Anne,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Canadian actress, producer and model""",female given name,female given name,link_change,
13535530,13947,Centre-Val de Loire,q13947$8564DAA9-7CEC-40B5-B579-26E21E5A875E,,47,shares border with,"""Q3593370""",Île-de-France,"""Q13917""",Île-de-France,wikibase-entityid,UPDATE,PROPERTY_VALUE,region of France,"""French administrative region""","""administrative region of France""",rock band,link_change,
1019828931,310625,Marc Bartra,Q310625$4B512BFD-ACD2-4251-9A59-20CAAE574AD6,,118,league or competition,"""Q26944554""",La Liga,"""Q324867""",La Liga,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Spanish footballer""","""men's top professional football division of the Spanish football league system""",Wikimedia disambiguation page,link_change,
2261807414,106258,Adolf Schmidt,Q106258$aab46e63-46dc-69c5-90a2-52534406ac6a,,1142,political ideology,"""Q16003550""",pacifist,"""Q58848""",pacifism,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""German geophysicist and Esperantist (1860–1944)""","""opposition to war and violence""",person commited to pacifism,link_change,
2258737371,164195,Bolboschoenus,Q164195$9FFF9DB9-51EC-4846-9B63-89ECEC7D3FA5,,171,parent taxon,"""Q155843""",Cyperaceae,"""Q119137283""",Bolboschoeneae,wikibase-entityid,UPDATE,PROPERTY_VALUE,taxon,"""genus of plants""",,"""family of plants""",property_value_update,
338564352,352,Adolf Hitler,Q352$c4c10e6c-47dd-daaf-5fd9-989568e5ecf8,,106,occupation,"""Q15954665""",antisemitism,"""Q22649""",antisemitism,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""dictator of Germany from 1933 to 1945""","""bias, prejudice, or discrimination against Jews""",person practicing antisemitism,link_change,
1752844787,196380,Soligalich,Q196380$C7593A5E-90C9-4135-8C8D-99B948B57880,,571,inception,"""+1335-01-01T00:00:00Z""",,"""+1335-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,city or town,"""town in Russia""",,,re_formatting,
53830691,17444,Nevermind,q17444$08C1DB68-2876-4013-8160-D94A2F23DA31,,156,followed by,"""Q1645579""",Hormoaning,"""Q222001""",In Utero,wikibase-entityid,UPDATE,PROPERTY_VALUE,album,"""1991 studio album by Nirvana""","""1993 studio album by Nirvana""",1992 compliation EP by Nirvana,property_value_update,
476824274,129724,Dutch Research Council,Q129724$0A3F981D-E2D7-4EC9-BE72-08D66F38B543,,31,instance of,"""Q4830453""",business,"""Q43229""",organization,wikibase-entityid,UPDATE,PROPERTY_VALUE,"research institute, zelfstandig bestuursorgaan","""national research council of the Netherlands""","""social entity established to meet needs or pursue goals""","organization undertaking commercial, industrial, or professional activity
",unrefinement,
2078657341,188962,James Naismith,q188962$4EC887E3-A823-4D99-923D-2E678D686A86,,20,place of death,"""Q493840""",Lawrence,"""Q64""",Berlin,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Canadian-American coach; inventor of basketball""","""federated state, capital and largest city of Germany""","city in and county seat of Douglas County, Kansas, United States",property_value_update,
1705202677,1164,Assam,Q1164$b08ef5b0-45bb-c6a0-1f60-73049f407c0c,,6,head of government,"""Q7423486""",Sarbananda Sonowal,"""Q5765114""",Himanta Biswa Sarma,wikibase-entityid,UPDATE,PROPERTY_VALUE,state of India,"""Indian state""",Indian politician,Indian politician,property_value_update,
2053396452,202756,Jessica Michibata,Q202756$BBF2402E-7C6D-46B7-AC07-317FA45190BA,,106,occupation,"""Q4610556""",model,"""Q482980""",author,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Argentine Japanese author and entrepreneur""",writer of an original work,"person employed to display, advertise and promote products, or to serve as a visual aid",property_value_update,
1883096842,62924,Franz Bäke,Q62924$25AD203F-0A3B-4939-B670-A076C8D53A56,,1196,manner of death,"""Q171558""",accident,"""Q21142718""",accidental death,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""German dentist and general (1898-1978)""",non-natural manner of death; in which victims die in an accidental way,"""unforeseen event that causes damage to a person or property""",refinement,
22278200,110176,circumscribed circle,q110176$A9CE5B83-9C7F-4496-B4C5-E984EEEBC690,,31,instance of,"""Q17278""",circle,"""Q10615343""",triangle circles,wikibase-entityid,UPDATE,PROPERTY_VALUE,circle,"""circle that passes through all the vertices of a polygon""",circles defined for a triangle,"""simple curve of Euclidean geometry""",property_value_update,
118637146,79585,Westover,q79585$400B7F06-753E-4DFB-85FA-248C9E88506F,,131,located in the administrative territorial entity,"""Q173""",Alabama,"""Q501084""",Shelby County,wikibase-entityid,UPDATE,PROPERTY_VALUE,city in the United States,"""city in Alabama, United States""","county in Alabama, United States","""state of the United States of America""",refinement,
1603053299,7997,French Grand Prix,Q7997$160C33E3-B01F-4BC0-B104-20BFBD893491,,527,has part(s),"""Q173062""",1952 French Grand Prix,"""Q8541468""",1914 French Grand Prix,wikibase-entityid,UPDATE,PROPERTY_VALUE,"Formula One event, Formula One Grand Prix, recurring sporting event","""auto race held in France""",motor car race,"""Formula One motor race held in 1952""",property_value_update,
943613631,56942,Wii U,Q56942$d5d23eea-4dac-7ff7-59fc-bc7a80189e44,,880,CPU,"""Q719867""",Espresso,"""Q726""",horse,wikibase-entityid,UPDATE,PROPERTY_VALUE,"home video game console, home video game console model","""eighth-generation home video game console by Nintendo""","""domesticated four-footed mammal from the equine family""",IBM microprocessor,property_value_update,
821352481,465292,Wendy Beckett,Q465292$02C0C48B-CF68-431B-B373-1BE8A2EDFE62,,27,country of citizenship,"""Q842438""",British,"""Q145""",United Kingdom,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""British Catholic nun and presenter of documentaries for the BBC on the history of art (1930-2018)""","""country in north-west Europe""","citizens or residents of the United Kingdom of Great Britain and Northern Ireland, British Overseas Territories, Crown Dependencies, and their descendants",property_value_update,
674238535,101971,wart,Q101971$6703176B-C2AF-49EB-A339-51FC097DE96B,,1995,health specialty,"""Q788926""",infectious diseases,"""Q171171""",dermatology,wikibase-entityid,UPDATE,PROPERTY_VALUE,"disease, symptom or sign, viral skin disease","""small, rough growth resembling a cauliflower or a solid blister, often found on hands""","""branch of medicine dealing with the skin, its structure, functions, and diseases""","medical specialty dealing with the diagnosis, control and treatment of infections",property_value_update,
1289272391,166615,,Q166615$93E1392F-2DD7-4E50-8307-45CE295C7C0B,,31,instance of,"""Q102356""",brigade,"""Q22115622""",panzerbrigade,wikibase-entityid,UPDATE,PROPERTY_VALUE,armored brigade,,armored brigade formation organized within the German Army,"""military formation size designation, typically of 3–6 battalions""",refinement,
773656717,445239,Mary Haas,q445239$66BB0299-53D3-41C2-86F1-ACA269C33933,,20,place of death,"""Q107146""",Alameda County,"""Q490744""",Alameda,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""American linguist; studied historical linguistics (1910–1996)""","city in Alameda County, California, United States","""county in California, United States""",refinement,
308754210,309909,Childeric II,q309909$A351C1E5-DD7F-468B-9CB0-8CBEA0BD535F,,40,child,"""Q109240""",Chilperic II,"""Q22979283""",Dagobert,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Frankish king""",frankish prince,"""King of Neustria""",property_value_update,
963885941,22699,Castanea sativa,Q22699$7f46c58b-43c3-9080-f4f4-572a88d2ce4c,,4000,has fruit type,"""Q11009""",nut,"""Q30506015""",glans,wikibase-entityid,UPDATE,PROPERTY_VALUE,"taxon, useful plant","""species of plant""",aril-like indehiscent anthocarp,"""in botany, type of dry indehiscent fruit""",property_value_update,
2248271812,417835,thiepine,Q417835$1C3A6F4B-11D6-40B2-AA44-A3D1960CAB01,,279,subclass of,"""Q11173""",chemical compound,"""Q73727502""",organosulfur heterocyclic compound,wikibase-entityid,UPDATE,PROPERTY_VALUE,"organosulfur heterocyclic compound, type of chemical entity","""chemical compound""",class of chemical compounds,"""pure chemical substance consisting of two or more different chemical elements""",refinement,
1044118435,421320,Ionomycin calcium salt,q421320$43A4D503-ECD8-4A1D-8B54-F97094B12FF3,,31,instance of,"""Q11173""",chemical compound,"""Q12270111""",organic salt,wikibase-entityid,UPDATE,PROPERTY_VALUE,"organic salt, type of chemical entity","""chemical compound""",salt in which at least one cation or anion is derived from an organic compound,"""pure chemical substance consisting of two or more different chemical elements""",refinement,
745094557,299098,ATP-Test,Q299098$32764c53-4d24-ea1f-cb8a-179ff9def3a8,,452,industry,"""Q11190""",medicine,"""Q29584363""",human health activities,wikibase-entityid,UPDATE,PROPERTY_VALUE,research design,"""test method by which all human, animal, plant, bacterial, yeast and mold cells can be investigated""",economic activity,"""field of study for diagnosing, treating and preventing disease""",property_value_update,
655954929,184871,Euler's formula,Q184871$b943f2b6-4add-bc67-ce5b-ffed5b791ac4,,31,instance of,"""Q11345""",equation,"""Q609647""",identity,wikibase-entityid,UPDATE,PROPERTY_VALUE,"identity, theorem","""mathematical formula in complex analysis that establishes the fundamental relationship between the trigonometric functions and the complex exponential function""",equation that is satisfied for all values of the variables,"""mathematical statement that asserts the equality of two expressions""",property_value_update,
2219797336,309661,Echinopsis hertrichiana,Q309661$7AA68E26-219C-4862-B686-5B41D7CCC8C3,,141,IUCN conservation status,"""Q11394""",endangered species,"""Q96377276""",Endangered status,wikibase-entityid,UPDATE,PROPERTY_VALUE,taxon,"""species of plant""",IUCN status for species which are categorized as very likely to become extinct in the near future,"""species of organisms facing a very high risk of extinction""",property_value_update,
516634925,317869,Wong Fei-hung,Q317869$8432F38A-C88B-49DD-A45F-A0354F0C6E1A,,106,occupation,"""Q11417""",martial artist,"""Q11124885""",martial artist,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""Chinese martial artist and physician (1847-1924)""",person who practises a martial art,"""codified systems and traditions of combat practices""",link_change,
472255529,190382,ionization,Q190382$a9c82195-40a2-32e9-5108-56651ab4edb7,,2283,uses,"""Q11432""",gas,"""Q29147941""",gaseous state of matter,wikibase-entityid,UPDATE,PROPERTY_VALUE,"chemical reaction, phase change","""process by which atoms or molecules acquire charge by gaining or losing electrons""","one of the four fundamental states of matter, characterized by an absent free surface","""fundamental state of matter in which constituent particles are widely separated with weak intermolecular bonds""",refinement,
47337414,191888,Queen Mary 2,q191888$15E086DF-FE82-4368-846C-CBF71A7EC16A,,31,instance of,"""Q11446""",ship,"""Q697196""",ocean liner,wikibase-entityid,UPDATE,PROPERTY_VALUE,"cruise ship, ocean liner","""Transatlantic cruise ship""",ship designed to transport people from one seaport to another,"""large buoyant watercraft""",refinement,
100369137,155222,Scharnhorst,q155222$FE0D388A-331F-4445-9AAF-63CF273B0A7F,,31,instance of,"""Q11446""",ship,"""Q701202""",Scharnhorst-class battleship,wikibase-entityid,UPDATE,PROPERTY_VALUE,"battlecruiser, shipwreck","""1936 Scharnhorst-class battleship""",1936 class of German battleships,"""large buoyant watercraft""",refinement,
185867200,323360,SMS Zähringen,q323360$273E64CE-9214-48B3-A443-F5DE1529B075,,31,instance of,"""Q11446""",ship,"""Q1051067""",pre-dreadnought battleship,wikibase-entityid,UPDATE,PROPERTY_VALUE,pre-dreadnought battleship,"""1901 Wittelsbach-class battleship""","type of battleship, preceding the development of the dreadnought","""large buoyant watercraft""",refinement,
739028814,283069,Esther Phillips,Q283069$B5556DE8-1056-45B9-B72E-6FD5B0656E4E,,509,cause of death,"""Q114953""",poisoning,"""Q3505252""",drug overdose,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,"""American singer (1935–1984)""",ingestion or application of a drug or other substance in quantities greater than recommended amount,"""toxic effect of a biological or chemical agent""",property_value_update,
118149775,337854,Bentley Township,q337854$1E388406-FF66-40A2-B4B0-D8A57E8854D6,,131,located in the administrative territorial entity,"""Q1166""",Michigan,"""Q490642""",Gladwin County,wikibase-entityid,UPDATE,PROPERTY_VALUE,township of Michigan,"""township in Gladwin County, Michigan""","county in Michigan, United States","""state of the United States of America""",refinement,
