"revision_id","value_id","property_id","change_target"
"285331617","Q136541$5B623EFA-A49B-4C5C-8455-775C0364EEB7",357,""
"285331617","Q136541$0F877656-992E-4CA3-9CE3-D5975EDFEFA3",1476,""
"5816667","q10132$31B979EC-BCBE-43FD-B8AC-939DBA2CE126",27,""
"116174852","Q221057$98AB2EDB-9364-493E-B084-A20E2A9B3A1E",173,""
"116174892","Q221057$11940a1c-46c7-7598-96b3-2005a23e8b2b",31,""
"142413037","Q381418$F71321C1-FD5F-4D6C-BB39-438F74B3856B",1298,""
"142413050","Q381418$0E263E55-3F65-4F4B-9D89-D7F29FE7F996",937,""
"116174892","Q221057$11940a1c-46c7-7598-96b3-2005a23e8b2b",31,""
"5910749","q77$1CB1FFA3-F3D6-4CA9-8AFB-D2FA9ED0AF95",46,""
"5910760","q77$6DEEA34E-705A-49B8-A80C-1E8064679BA2",35,""
"5816029","q16597$DA942C89-67A0-4E41-ABDC-6CD6C4393687",17,""
"5816030","q16597$175FAF73-D67A-4693-9908-9DC82B8C9AD2",27,""
"5816664","q10132$57815A40-8ABF-4C12-82A0-A7C81099EA47",17,""
"7602539","q11959$7D01FBD3-6A94-4B02-B300-43213BA32F3A",32,""
"7602522","q11959$94170C20-3323-4AFF-955F-E5754F507220",131,""
"7602495","q11959$E9759A63-D7B8-4255-A6B3-E6839BAF962F",131,""
"7602507","q11959$71EDF88C-5755-4D29-8B3F-5EC721F3EE58",12,""
"7583406","q235884$1A4B770C-63E8-483F-A5FF-B94A8E78799A",131,""
"7583432","q235884$7C319360-6969-4878-864E-544248D13FF0",11,""
"7583371","q235884$85C41E4F-E7FD-47EC-9E51-738BBAB2911B",131,""
"7583424","q235884$4B7E7BFF-C7EB-46E6-9B42-F7825F7C4E67",33,""
"31281429","q40$784CD01F-2398-4FA1-AF75-9BD30DD7734D",31,""
"31281475","q40$4f8ba17a-49b6-ea86-d183-2d5b5f8787d4",463,""
"46069906","q40$D12C59A3-BBAE-4219-96FE-D544754676FB",46,""
"46069973","q40$3db46b9d-4524-c18b-89f8-c8f792e0a435",6,""
"5826317","q155571$F4BCDE53-F647-47D8-9552-5E2684EAA478",60,""
"5909675","q155571$9733C49B-7B32-410C-B431-CE926CAEBD5C",31,""
"5833722","q76$B7780A59-0C13-4566-A417-B31668F24773",69,""
"5833865","q76$46ED1F0E-8D01-4074-98E6-6618D669A3AE",90,""
"5842362","q10520$8C729951-7404-4033-B139-7C167795FC54",54,""
"5842391","q10520$CCAD46AF-925B-4782-AB1F-8D357008F35C",55,""
"7686023","q54936$8D124BEC-0D68-4DB7-BA2C-81836C91C1E3",32,""
"7686041","q54936$0D74BCD8-0F14-42B1-95DA-2122CBA421AC",131,""
