"pair_id","revision_id","entity_id","entity_label","value_id","property_id","change_target","property_label","old_value","old_value_label","new_value","new_value_label","datatype","action","target","comment","timestamp","label","username"
1,"212700431","138760","10 Upper Bank Street","Q138760$78F24304-4F71-45E9-9B7F-9391D92AA39F","276","","location","{}",NULL,"""Q124377""","Canary Wharf","wikibase-entityid","CREATE","PROPERTY","/* wbeditentity-update:0| */ move claim [[Property:P1134]] -> [[Property:P276]]","2015-04-25 06:23:38+00","property_replacement","PLbot"
1,"212700431","138760","10 Upper Bank Street","Q138760$46ADB852-2EEF-4070-9386-62C9F7294DD9","1134","","located in place","""Q124377""","Canary Wharf","{}","","","DELETE","PROPERTY","/* wbeditentity-update:0| */ move claim [[Property:P1134]] -> [[Property:P276]]","2015-04-25 06:23:38+00","property_replacement","PLbot"
2,"180530407","8138","1928 Summer Olympics","Q8138$447d61ee-49e7-7d86-7ecb-04fd684dae4e","766","","event location","""Q503319""","Olympic Stadium in Amsterdam","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P766]]: [[Q503319]]","2014-12-12 19:36:58+00","property_replacement","Dexbot"
2,"180528050","8138","1928 Summer Olympics","Q8138$DAC054D0-2117-4F64-B63B-1BE724FE21BB","276","","location","{}","","""Q503319""","Olympic Stadium in Amsterdam","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim-create:1| */ [[Property:P276]]: [[Q503319]]","2014-12-12 19:25:38+00","property_replacement","Dexbot"
3,"116175302","276667","1956 South Korean presidential election","Q276667$b4bc1b3a-4402-6a78-65ae-ca504caf4856","173","","type of election","""Q1196727""","direct election","{}","","wikibase-entityid","DELETE","PROPERTY_VALUE","/* wbremoveclaims-remove:1| */ [[Property:P173]]: [[Q1196727]]","2014-03-14 12:45:08+00","non_property_replacement","Jakec"
3,"116175288","276667","1956 South Korean presidential election","Q276667$fd788541-49bb-baf3-2938-11ead89384a2","31","","instance of","{}","","""Q858439""","presidential election","wikibase-entityid","CREATE","PROPERTY_VALUE","/* wbsetclaim-create:1||1 */ [[Property:P31]]: [[Q858439]]","2014-03-14 12:45:04+00","non_property_replacement","Jakec"
4,"142682854","334647","1981 South Korean presidential election","Q334647$A3B77F4E-3E84-41EE-B501-312AE7346A8D","31","","instance of","{}","","""Q877353""","indirect election","wikibase-entityid","CREATE","PROPERTY_VALUE","/* wbcreateclaim-create:1| */ [[Property:P31]]: [[Q877353]]","2014-07-05 20:18:06+00","property_replacement","Pasleim"
4,"142682822","334647","1981 South Korean presidential election","Q334647$1d9fb768-4ccd-f37e-e98f-64b22d588ebb","173","","type of election","""Q877353""","indirect election","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P173]]: [[Q877353]]","2014-07-05 20:17:54+00","property_replacement","Pasleim"
5,"142682764","334745","1987 South Korean presidential election","Q334745$C2516224-CE58-4116-A249-F359B2232C19","31","","instance of","{}","","""Q1196727""","direct election","wikibase-entityid","CREATE","PROPERTY_VALUE","/* wbcreateclaim-create:1| */ [[Property:P31]]: [[Q1196727]]","2014-07-05 20:17:29+00","property_replacement","Pasleim"
5,"142682737","334745","1987 South Korean presidential election","Q334745$dadcb2fd-49c6-f1ae-c3a0-1b0841847243","173","","type of election","""Q1196727""","direct election","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P173]]: [[Q1196727]]","2014-07-05 20:17:18+00","property_replacement","Pasleim"
6,"180528105","8544","2000 Summer Olympics","Q8544$6A01EA03-2932-439D-AB11-C6EF4989B922","276","","location","{}","","""Q295886""","Accor Stadium","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim-create:1| */ [[Property:P276]]: [[Q295886]]","2014-12-12 19:25:53+00","property_replacement","Dexbot"
6,"180530476","8544","2000 Summer Olympics","Q8544$cc386016-45b2-2e07-3297-7aa1ee9154d2","766","","event location","""Q295886""","Accor Stadium","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P766]]: [[Q295886]]","2014-12-12 19:37:11+00","property_replacement","Dexbot"
7,"116174852","221057","2006 Finnish presidential election","Q221057$98AB2EDB-9364-493E-B084-A20E2A9B3A1E","173","","type of election","""Q858439""","presidential election","{}","","","DELETE","PROPERTY","/* wbremoveclaims-remove:1| */ [[Property:P173]]: [[Q858439]]","2014-03-14 12:41:58+00","property_replacement","Jakec"
7,"116174892","221057","2006 Finnish presidential election","Q221057$11940a1c-46c7-7598-96b3-2005a23e8b2b","31","","instance of","{}","","""Q858439""","presidential election","wikibase-entityid","CREATE","PROPERTY","/* wbsetclaim-create:1||1 */ [[Property:P31]]: [[Q858439]]","2014-03-14 12:42:13+00","property_replacement","Jakec"
8,"5909675","155571","(5611) 1943 DL","q155571$9733C49B-7B32-410C-B431-CE926CAEBD5C","31","","instance of","{}","","""Q3863""","asteroid","wikibase-entityid","CREATE","PROPERTY","","2013-02-06 16:25:22+00","property_replacement","Art-top"
8,"5826317","155571","(5611) 1943 DL","q155571$F4BCDE53-F647-47D8-9552-5E2684EAA478","60","","astronomical object","""Q3863""","asteroid","{}","","","DELETE","PROPERTY","","2013-02-05 18:52:46+00","property_replacement","Stryn"
9,"6042533","7259","Ada Lovelace","q7259$1EF994ED-8509-49B3-8E16-52CEEB78F00A","31","","instance of","""Q215627""","person","{}","","wikibase-entityid","DELETE","PROPERTY_VALUE","","2013-02-08 12:08:53+00","property_replacement",""
9,"6771655","7259","Ada Lovelace","q7259$FEE5069C-DF8E-4355-A973-2B0B8BC339A8","107","","Main type of item (entity)","{}","","""Q215627""","person","wikibase-entityid","CREATE","PROPERTY","","2013-02-17 11:01:36+00","property_replacement","Jon Harald Søby"
10,"7602495","11959","Alicante","q11959$E9759A63-D7B8-4255-A6B3-E6839BAF962F","131","","located in the administrative territorial entity","{}","","""Q54936""","Province of Alicante","wikibase-entityid","CREATE","PROPERTY","/* wbcreateclaim:1 */ p131","2013-02-24 16:09:16+00","non_property_replacement","Magnus Manske"
