"anchor_revision_id","revision_id","entity_id","entity_label","value_id","property_id","change_target","property_label","old_value","old_value_label","new_value","new_value_label","datatype","new_hash","old_hash","revision_rank","timestamp","comment","label","username","user_id","action"
"6271","508","2","Earth","description",-2,"","description","{}",NULL,"""Our planet""",NULL,"string","","","-1","2012-10-29 21:52:33+00","/* wbsetdescription-set:1|en */ Our planet","","Denny","713","CREATE"
"6271","514","2","Earth","description",-2,"","description","""Our planet""",NULL,"""The planet""",NULL,"string","","","-1","2012-10-29 21:53:00+00","/* wbsetdescription-set:1|en */ The planet","","Denny","713","UPDATE"
"6271","1555","2","Earth","description",-2,"","description","""The planet""",NULL,"""The third planet in the Solar System.""",NULL,"string","","","-1","2012-10-30 09:57:22+00","/* wbsetdescription-set:1|en */ The third planet in the Solar System.","","Hydriz","320","UPDATE"
"6271","1558","2","Earth","description",-2,"","description","""The third planet in the Solar System.""",NULL,"""The third planet from the Sun in the Solar System.""",NULL,"string","","","-1","2012-10-30 09:58:17+00","/* wbsetdescription-set:1|en */ The third planet from the Sun in the Solar System.","","Hydriz","320","UPDATE"
"6271","2457","2","Earth","description",-2,"","description","""The third planet from the Sun in the Solar System.""",NULL,"""The third planet from the Sun in the Solar System. Our planet.""",NULL,"string","","","-1","2012-10-30 12:19:50+00","/* wbsetdescription-set:1|en */ The third planet from the Sun in the Solar System. Our planet.","","Emijrp","4147","UPDATE"
"6271","6271","2","Earth","description",-2,"","description","""The third planet from the Sun in the Solar System. Our planet.""",NULL,"""Terzo pianeta del sistema solare. Il nostro pianeta.""",NULL,"string","","","0","2012-10-30 17:27:01+00","/* wbsetdescription-set:1|en */ Terzo pianeta del sistema solare. Il nostro pianeta.","reverted_edit","Syrio","4378","UPDATE"
"6271","6287","2","Earth","description",-2,"","description","""Terzo pianeta del sistema solare. Il nostro pianeta.""",NULL,"""The third planet from the Sun in the Solar System. Our planet.""",NULL,"string","","","1","2012-10-30 17:27:48+00","Undo revision 6271 by [[Special:Contributions/Syrio|Syrio]] ([[User talk:Syrio|talk]]) uups, pardon","","Syrio","4378","UPDATE"
"6271","334895","2","Earth","description",-2,"","description","""The third planet from the Sun in the Solar System. Our planet.""",NULL,"""The third planet from the Sun (Sol) in the Solar System. Our planet.""",NULL,"string","","","1","2012-11-05 16:58:37+00","/* wbsetdescription-set:1|en */ The third planet from the Sun (Sol) in the Solar System. Our planet.","","","","UPDATE"
"6271","532555","2","Earth","description",-2,"","description","""The third planet from the Sun (Sol) in the Solar System. Our planet.""",NULL,"""planet""",NULL,"string","","","1","2012-11-22 15:41:00+00","/* wbsetdescription-set:1|en */ planet","","","","UPDATE"
"6271","5343516","2","Earth","description",-2,"","description","""planet""",NULL,"""Third planet in the Solar System""",NULL,"string","","","1","2013-01-29 12:02:38+00","/* wbsetdescription-set:1|en */ Third planet in the Solar System","","Rsrikanth05","12355","UPDATE"
"6271","5343795","2","Earth","description",-2,"","description","""Third planet in the Solar System""",NULL,"""third planet in the Solar System""",NULL,"string","","","1","2013-01-29 12:06:39+00","/* wbsetdescription-set:1|en */ third planet in the Solar System","","Rsrikanth05","12355","UPDATE"
"6271","54636922","2","Earth","description",-2,"","description","""third planet in the Solar System""",NULL,"""third planet in the Solar System; mostly harmless.""",NULL,"string","","","1","2013-07-07 12:49:10+00","/* wbsetdescription-set:1|en */ third planet in the Solar System; mostly harmless.","","Pixelpapst","250247","UPDATE"
"6271","54637017","2","Earth","description",-2,"","description","""third planet in the Solar System; mostly harmless.""",NULL,"""third planet in the Solar System""",NULL,"string","","","1","2013-07-07 12:50:28+00","Reverted edits by [[Special:Contributions/Pixelpapst|Pixelpapst]] ([[User talk:Pixelpapst|talk]]) to last revision by [[User:Byfserag|Byfserag]]","","Vyom25","48124","UPDATE"
"6271","156531596","2","Earth","description",-2,"","description","""third planet in the Solar System""",NULL,"""fiveteen planet in the Solar System""",NULL,"string","","","1","2014-09-09 13:49:20+00","/* wbsetdescription-set:1|en */ fiveteen planet in the Solar System","","","","UPDATE"
"6271","156536429","2","Earth","description",-2,"","description","""fiveteen planet in the Solar System""",NULL,"""third planet in the Solar System""",NULL,"string","","","1","2014-09-09 14:27:07+00","Reverted edits by [[Special:Contributions/109.110.17.30|109.110.17.30]] ([[User talk:109.110.17.30|talk]]) to last revision by [[User:DanmicholoBot|DanmicholoBot]]","","Matěj Suchánek","53613","UPDATE"
"6271","157500148","2","Earth","description",-2,"","description","""third planet in the Solar System""",NULL,"""third planet closest to the Sun in the Solar System""",NULL,"string","","","1","2014-09-14 16:08:54+00","/* wbsetdescription-set:1|en */ third planet closest to the Sun in the Solar System","","Robin van der Vliet","742954","UPDATE"
"6271","172211707","2","Earth","description",-2,"","description","""third planet closest to the Sun in the Solar System""",NULL,"""19th planet closest to the Sun in the Solar System""",NULL,"string","","","1","2014-11-08 21:19:20+00","/* wbsetdescription-set:1|en */ 19th planet closest to the Sun in the Solar System","","","","UPDATE"
"6271","172212036","2","Earth","description",-2,"","description","""19th planet closest to the Sun in the Solar System""",NULL,"""third planet closest to the Sun in the Solar System""",NULL,"string","","","1","2014-11-08 21:20:28+00","/* wbsetdescription-set:1|en */ third planet closest to the Sun in the Solar System","","","","UPDATE"
"6271","189190661","2","Earth","description",-2,"","description","""third planet closest to the Sun in the Solar System""",NULL,"""Third planet closest to the Sun in the Solar System....""",NULL,"string","","","1","2015-01-20 05:13:40+00","/* wbsetdescription-set:1|en */ Third planet closest to the Sun in the Solar System....","","","","UPDATE"
"6271","189191055","2","Earth","description",-2,"","description","""Third planet closest to the Sun in the Solar System....""",NULL,"""third planet closest to the Sun in the Solar System""",NULL,"string","","","1","2015-01-20 05:22:42+00","Reverted edits by [[Special:Contributions/122.164.26.105|122.164.26.105]] ([[User talk:122.164.26.105|talk]]) to last revision by [[User:Dexbot|Dexbot]]","","Haplology","20423","UPDATE"
"6271","195936642","2","Earth","description",-2,"","description","""third planet closest to the Sun in the Solar System""",NULL,"""The fourth planet closest to Uranus""",NULL,"string","","","1","2015-02-12 16:58:03+00","/* wbsetdescription-set:1|en */ The fourth planet closest to Uranus","","","","UPDATE"
"6271","195937227","2","Earth","description",-2,"","description","""The fourth planet closest to Uranus""",NULL,"""third planet closest to the Sun in the Solar System""",NULL,"string","","","1","2015-02-12 17:00:58+00","Undid revision 195936642 by [[Special:Contributions/201.163.228.54|201.163.228.54]] ([[User talk:201.163.228.54|talk]])","","","","UPDATE"
"6271","197153840","2","Earth","description",-2,"","description","""third planet closest to the Sun in the Solar System""",NULL,"""third planet closest to the Sun in the Solar System 1111""",NULL,"string","","","1","2015-02-16 08:12:08+00","/* wbsetdescription-set:1|en */ third planet closest to the Sun in the Solar System 1111","","","","UPDATE"
