"revision_id","entity_id","entity_label","value_id","property_id","change_target","property_label","old_value","old_value_label","new_value","new_value_label","label","datatype"
"48754132",177,"pizza","description",-2,"","description","""Italian dish made of oven-baked bread with various toppings""",NULL,"""Italian dish made of oven-baked bread with various toppings...""",NULL,"reverted_edit","string"
"193894310",177,"pizza","label",-1,"","label","""pizza""",NULL,"""pizza 115""",NULL,"reverted_edit","string"
"216497800",177,"pizza","label",-1,"","label","""pizza""",NULL,"""pizza:3""",NULL,"reverted_edit","string"
"7376023",76,"Barack Obama","label",-1,"","label","""Barack Obama""",NULL,"""timothy shh""",NULL,"reverted_edit","string"
"7375872",76,"Barack Obama","description",-2,"","description","""44th President of the United States of America""",NULL,"""Worst president ever""",NULL,"reverted_edit","string"
"8215723",76,"Barack Obama","label",-1,"","label","""Barack Obama""",NULL,"""Barack Obama o cazz""",NULL,"reverted_edit","string"
"9896714",76,"Barack Obama","label",-1,"","label","""Barack Obama""",NULL,"""Barack Hussein Obama""",NULL,"reverted_edit","string"
"11385407",76,"Barack Obama","label",-1,"","label","""Barack Obama""",NULL,"""Seymour Skidmarks""",NULL,"reverted_edit","string"
"34037431",1,"Universe","label",-1,"","label","""Universe""",NULL,"""Universo""",NULL,"reverted_edit","string"
"55229408",1,"Universe","q1$24fcef09-4859-b31d-a642-820a198c2966",571,"","inception","""-13800000000-01-01T00:00:00Z""",NULL,"{}",NULL,"reverted_edit",NULL
"208468137",1,"Universe","Q1$1dda951f-4958-9976-5dd7-469a8bfd6822",793,"","significant event","{}",NULL,"""novalue""",NULL,"reverted_edit","unknown-values"
"208468137",1,"Universe","Q1$1dda951f-4958-9976-5dd7-469a8bfd6822",793,"rank","significant event","{}",NULL,"""deprecated""",NULL,"reverted_edit","unknown-values"
"11221611",2,"Earth","q2$888C34F3-E429-4830-A5A1-049BF91DF545",20,"rank","place of death","{}",NULL,"""normal""",NULL,"reverted_edit","wikibase-entityid"
"6271",2,"Earth","description",-2,"","description","""The third planet from the Sun in the Solar System. Our planet.""",NULL,"""Terzo pianeta del sistema solare. Il nostro pianeta.""",NULL,"reverted_edit","string"
"56570397",5,"human","label",-1,"","label","""human""",NULL,"""S m production""",NULL,"reverted_edit","string"
"48977958",5,"human","q5$61FAEFA4-F943-4FF8-9621-D1D2374FA9F4",31,"rank","instance of","{}",NULL,"""normal""",NULL,"reverted_edit","wikibase-entityid"
"91723469",5,"human","Q5$13a8d577-420e-e700-aa1f-a39e5e2259b9",75,"rank",NULL,"{}",NULL,"""normal""",NULL,"reverted_edit","wikibase-entityid"
"91723597",5,"human","Q5$c9174301-4108-0b12-1c7e-5cfcbb793475",76,"rank",NULL,"{}",NULL,"""normal""",NULL,"reverted_edit","wikibase-entityid"
"91723821",5,"human","Q5$a1c7cb3d-4dfc-58a2-7700-3cf12b071cd9",71,"rank",NULL,"{}",NULL,"""normal""",NULL,"reverted_edit","wikibase-entityid"
"91723948",5,"human","Q5$e84dfd46-41e4-061e-e484-262118288f01",89,"rank",NULL,"{}",NULL,"""normal""",NULL,"reverted_edit","wikibase-entityid"
"113901523",5,"human","Q5$73bd6a20-46ce-2d0e-bc11-28d36518de38",627,"","IUCN taxon ID","{}",NULL,"""136584""",NULL,"reverted_edit","string"
"113901523",5,"human","Q5$73bd6a20-46ce-2d0e-bc11-28d36518de38",627,"rank","IUCN taxon ID","{}",NULL,"""normal""",NULL,"reverted_edit","string"
"126729452",5,"human","Q5$57b0e7f1-4b68-bffa-51be-788d482bef36",1245,"","OmegaWiki Defined Meaning","{}",NULL,"""486757""",NULL,"reverted_edit","string"
"152027574",5,"human","Q5$b24e39b8-4186-1b27-2197-a2c976864029",31,"rank","instance of","{}",NULL,"""normal""",NULL,"reverted_edit","wikibase-entityid"
"199609595",5,"human","label",-1,"","label","""human""",NULL,"""alien""",NULL,"reverted_edit","string"
"196383326",5,"human","description",-2,"","description","""species of the family Hominidae, unique extant species of the genus Homo""",NULL,"""species of the family Hominidae, unique extant species of the genus Homo casado con andrea suarez c. se casaron en las vegas""",NULL,"reverted_edit","string"
"207774126",5,"human","Q5$9b31ac39-47a9-45e8-1ba2-11e3dee7483f",279,"","subclass of","""Q18336849""",NULL,"{}",NULL,"reverted_edit","wikibase-entityid"
"13836044",30,"United States","q30$49633849-8683-4BC4-99D3-CF83AD6DB2C6",35,"rank","head of state","""normal""",NULL,"{}",NULL,"reverted_edit",NULL
"10636269",30,"United States","q30$DAA13428-8FBC-4FCD-B1FD-A40CA26DFD91",30,"rank","continent","""normal""",NULL,"{}",NULL,"reverted_edit",NULL
"48854728",30,"United States","q30$80F02B73-7B68-45D1-9643-58F71B51BBCA",48,"",NULL,"""Star Spangled Banner instrumental.ogg""",NULL,"{}",NULL,"reverted_edit",NULL
"48854728",30,"United States","q30$80F02B73-7B68-45D1-9643-58F71B51BBCA",48,"rank",NULL,"""normal""",NULL,"{}",NULL,"reverted_edit",NULL
"6847575",76,"Barack Obama","q76$C3D525F7-4175-46F6-936D-70E7DBC4135D",107,"",NULL,"""Q215627""","person","{}",NULL,"reverted_edit",NULL
"6847575",76,"Barack Obama","q76$C3D525F7-4175-46F6-936D-70E7DBC4135D",107,"rank",NULL,"""normal""",NULL,"{}",NULL,"reverted_edit",NULL
"192803526",5,"human","Q5$cbb59d6f-4a8d-e3e0-a6f4-2dfdc66aa0fc",31,"rank","instance of","""normal""",NULL,"{}",NULL,"reverted_edit",NULL
"91723901",5,"human","Q5$6eb37830-481d-d753-03d1-c686e88ef1fa",74,"rank",NULL,"{}",NULL,"""normal""",NULL,"reverted_edit","wikibase-entityid"
"48871670",30,"United States","q30$80F02B73-7B68-45D1-9643-58F71B51BBCA",48,"",NULL,"{}",NULL,"""Star Spangled Banner instrumental.ogg""",NULL,"reverted_edit","string"
"48871670",30,"United States","q30$80F02B73-7B68-45D1-9643-58F71B51BBCA",48,"rank",NULL,"{}",NULL,"""normal""",NULL,"reverted_edit","string"
"48871670",30,"United States","q30$B9B88BD6-71E4-4AF6-BDC1-6D86B8D3CC40",51,"","audio","""Star Spangled Banner instrumental.ogg""",NULL,"{}",NULL,"reverted_edit",NULL
"48871670",30,"United States","q30$B9B88BD6-71E4-4AF6-BDC1-6D86B8D3CC40",51,"rank","audio","""normal""",NULL,"{}",NULL,"reverted_edit",NULL
"107355586",1,"Universe","label",-1,"","label","""universe""",NULL,"{}",NULL,"reverted_edit","string"
"70702541",2766,"iPhone","q2766$1A2D5A59-2AA8-4567-AE4D-38BC9DCD1195",373,"","Commons category","""IPhone""",NULL,"{}",NULL,"reverted_edit",NULL
"70702541",2766,"iPhone","q2766$1A2D5A59-2AA8-4567-AE4D-38BC9DCD1195",373,"rank","Commons category","""normal""",NULL,"{}",NULL,"reverted_edit",NULL
"69817402",2766,"iPhone","q2766$977EC7AE-6CB7-4B83-B04F-C261ECDB23C8",306,"rank","operating system","""normal""",NULL,"{}",NULL,"reverted_edit",NULL
"173561757",2766,"iPhone","label",-1,"","label","""iPhone""",NULL,"""iPhone Jina loves Said""",NULL,"reverted_edit","string"
"241416566",2766,"iPhone","Q2766$58587301-92B0-40A9-82CC-BDB36733A11F",1482,"","Stack Exchange tag","""http://stackoverflow.com/tags/iphone""",NULL,"""http://yek.mobi""",NULL,"reverted_edit","string"
"504683268",2766,"iPhone","Q2766$31E1CCA2-0CBE-4EC1-8BF6-C23635353497",268,"","Bibliothèque nationale de France ID","""156082549""",NULL,"""6757577575757575489092303221-24985""",NULL,"reverted_edit","string"
"575458802",2766,"iPhone","label",-1,"","label","""iPhone""",NULL,"""GiPhone""",NULL,"reverted_edit","string"
"886744271",2766,"iPhone","Q2766$1b1ab294-4c7b-d890-42ad-fe8ca0672ce6",31,"rank","instance of","{}",NULL,"""normal""",NULL,"reverted_edit","wikibase-entityid"
"1069057572",2766,"iPhone","Q2766$10e0ea56-48a8-afbb-87de-cf7d45135df2",2284,"rank","price","{}",NULL,"""normal""",NULL,"reverted_edit","quantity"
"1321568819",2766,"iPhone","Q2766$8aa4657b-4961-a478-1070-fe5d9035cd9d",3712,"rank","has goal","{}",NULL,"""normal""",NULL,"reverted_edit","wikibase-entityid"
"1429200779",2766,"iPhone","Q2766$7FF7439D-189D-4A92-90A4-13B9D5F6870D",4235,"","PatientsLikeMe treatment ID","""iphone""",NULL,"""ipooped""",NULL,"reverted_edit","string"
"377205627",2766,"iPhone","q2766$977EC7AE-6CB7-4B83-B04F-C261ECDB23C8",306,"","operating system","""Q48493""","iOS","""Q15837353""","","reverted_edit","wikibase-entityid"
"10636269",30,"United States","q30$DAA13428-8FBC-4FCD-B1FD-A40CA26DFD91",30,"","continent","""Q538""","Insular Oceania","{}",NULL,"reverted_edit","wikibase-entityid"
"68591488",1,"Universe","description",-2,"","description","""totality of planets, stars, galaxies, intergalactic space, and all matter and energy""",NULL,"""cube""",NULL,"reverted_edit","string"
"69518632",26876,"Taylor Swift","description",-2,"","description","""singer-songwriter from the United States""",NULL,"""singer-songwriter from Canada""",NULL,"reverted_edit","string"
"72814272",26876,"Taylor Swift","description",-2,"","description","""singer-songwriter from the United States""",NULL,"""singer-songwriter from Africa""",NULL,"reverted_edit","string"
"73682514",26876,"Taylor Swift","description",-2,"","description","""singer-songwriter from the United States""",NULL,"""singer-songwriter from Austrailia""",NULL,"reverted_edit","string"
"86103888",1,"Universe","description",-2,"","description","""totality of planets, stars, galaxies, intergalactic space, and all matter and energy""",NULL,"""Totality of planets, stars, galaxies, intergalactic space, and all matter and energy""",NULL,"reverted_edit","string"
"91723901",5,"human","Q5$6eb37830-481d-d753-03d1-c686e88ef1fa",74,"",NULL,"{}",NULL,"""Q171283""","Homo","reverted_edit","wikibase-entityid"
"91723948",5,"human","Q5$e84dfd46-41e4-061e-e484-262118288f01",89,"",NULL,"{}",NULL,"""Q5""","human","reverted_edit","wikibase-entityid"
"110652868",1,"Universe","label",-1,"","label","""universe""",NULL,"""el mundo de teeabithia""",NULL,"reverted_edit","string"
"189531781",1,"Universe","label",-1,"","label","""universe""",NULL,"""Universe""",NULL,"reverted_edit","string"
"212604544",5,"human","Q5$d3a4fa58-4f14-cef5-c1e7-2626fc6dac25",279,"","subclass of","""Q215627""","person","""Q18275907""","Iluminado","reverted_edit","wikibase-entityid"
"361034584",1,"Universe","description",-2,"","description","""totality of planets, stars, galaxies, intergalactic space, or all matter or all energy""",NULL,"{}",NULL,"reverted_edit","string"
"361034584",1,"Universe","label",-1,"","label","""universe""",NULL,"{}",NULL,"reverted_edit","string"
"543472730",23572,"Game of Thrones","label",-1,"","label","""Game of Thrones""",NULL,"""Gámez off thronesGame of Thrones""",NULL,"reverted_edit","string"
"552208351",23572,"Game of Thrones","description",-2,"","description","""American fantasy drama television series""",NULL,"""American fantasy drama television series la vieja y su madre""",NULL,"reverted_edit","string"
"10874142",26876,"Taylor Swift","label",-1,"","label","""Taylor Swift""",NULL,"""Taylor Swiyfty""",NULL,"reverted_edit","string"
"31889836",26876,"Taylor Swift","q26876$5bda2d50-41bb-e917-244d-15c8f86f66ad",19,"rank",NULL,"{}",NULL,"""normal""",NULL,"reverted_edit","wikibase-entityid"
"41947397",26876,"Taylor Swift","label",-1,"","label","""Taylor Swift""",NULL,"""taylor fart swift""",NULL,"reverted_edit","string"
"32570742",26876,"Taylor Swift","q26876$7C5DE35C-A2DE-4622-ABF3-BB5A99A2F5F6",106,"rank","occupation","""normal""",NULL,"{}",NULL,"reverted_edit",NULL
"129408356",26876,"Taylor Swift","Q26876$C76226D4-78FE-478B-80C3-E7CEEE2DF942",513,"",NULL,"""Taylor Swift""",NULL,"""Taylor hakuna matata Swift""",NULL,"reverted_edit","string"
"93330631",26876,"Taylor Swift","Q26876$43F14102-7579-45CE-AE68-CE923E545B9D",18,"","image","""Swift performing on the Speak Now Tour in 2012.jpg""",NULL,"""NiallHoran2013.jpg""",NULL,"reverted_edit","string"
"169850376",26876,"Taylor Swift","description",-2,"","description","""singer-songwriter from the United States""",NULL,"""singer-songwriter, cat owner from the United States""",NULL,"reverted_edit","string"
"182171609",26876,"Taylor Swift","description",-2,"","description","""singer-songwriter from the United States""",NULL,"""singer-songwriter from the México""",NULL,"reverted_edit","string"
"184398707",26876,"Taylor Swift","description",-2,"","description","""singer-songwriter from the United States""",NULL,"""singer-songwriter from the United States in Nashville""",NULL,"reverted_edit","string"
