"source","label","count_reverted","count_non_reverted","total","reversion_rate"
"qualifier","qualifier_insertion","0","152606718","152606718","0"
"qualifier","qualifier_deletion","0","33053930","33053930","0"
"reference","reference_insertion","0","1196915266","1196915266","0"
"reference","reference_deletion","0","680656651","680656651","0"
"qualifier","soft_deletion","0","5668941","5668941","0"
"value_change","statement_insertion","20996580","557647701","578644281","0.036285816155849984"
"value_change","statement_deletion","1170142","68849263","70019405","0.016711681568845095"
"value_change","property_value_update","5856","298519","304375","0.0192394250513347"
"value_change","soft_insertion","56684","2002184","2058868","0.02753163388813659"
"value_change","soft_deletion","19969","646355","666324","0.029968904016664567"
"entity","link_change","40696","6723141","6763837","0.006016703241074556"
"entity","refinement","43566","2139931","2183497","0.019952397461503266"
"entity","property_value_update","298366","2453029","2751395","0.1084417177468157"
"entity","unrefinement","32487","488755","521242","0.06232613642031916"
"time","refinement","20639","584262","604901","0.034119632799416766"
"time","property_value_update","72263","458436","530699","0.1361656984467655"
"time","unrefinement","1890","49797","51687","0.036566254570781824"
"globecoordinate_latitude","refinement","146","98896","99042","0.0014741220896185457"
"globecoordinate_latitude","property_value_update","2942","644649","647591","0.00454299086923691"
"globecoordinate_latitude","unrefinement","90","30579","30669","0.0029345593270077275"
"globecoordinate_longitude","refinement","307","113526","113833","0.0026969332267444412"
"globecoordinate_longitude","property_value_update","2865","638310","641175","0.004468358872382735"
"globecoordinate_longitude","unrefinement","87","22935","23022","0.003778994005733646"
"quantity","re_formatting","166","6067","6233","0.02663244023744585"
"quantity","refinement","174","6770","6944","0.025057603686635944"
"quantity","property_value_update","24770","346505","371275","0.06671604605750454"
"quantity","unrefinement","153","15716","15869","0.009641439284138888"
"text","re_formatting","110442","6239020","6349462","0.01739391463402726"
"text","refinement","232642","8112487","8345129","0.02787757984328343"
"text","property_value_update","377226","3424847","3802073","0.09921587512917296"
"text","unrefinement","67496","2946074","3013570","0.022397355959874833"
"text","textual_change","63601","1686784","1750385","0.0363354347757779"
