"datatype","user_type","label","count_reverted","count_non_reverted","total","reversion_rate"
"quantity","human","unrefinement","79","15522","15601","0.005063777962951093"
"quantity","bot","refinement","0","6","6","0"
"quantity","bot","unrefinement","1","9","10","0.1"
"quantity","human","re_formatting","148","1885","2033","0.07279881947860305"
"quantity","bot","re_formatting","1","4061","4062","0.0002461841457410143"
"quantity","bot","property_value_update","304","64934","65238","0.004659860817315062"
"quantity","human","refinement","95","6410","6505","0.014604150653343582"
"quantity","anonymous","property_value_update","18213","37678","55891","0.32586641856470633"
"quantity","anonymous","unrefinement","73","189","262","0.2786259541984733"
"quantity","human","property_value_update","6253","243893","250146","0.02499740151751377"
"quantity","anonymous","re_formatting","17","121","138","0.12318840579710146"
"quantity","anonymous","refinement","79","354","433","0.18244803695150116"
"globecoordinate_latitude","bot","property_value_update","46","348938","348984","0.0001318112005134906"
"globecoordinate_latitude","human","refinement","108","27864","27972","0.003861003861003861"
"globecoordinate_latitude","anonymous","property_value_update","661","11256","11917","0.05546697994461693"
"globecoordinate_latitude","anonymous","unrefinement","14","155","169","0.08284023668639054"
"globecoordinate_latitude","human","property_value_update","2235","284455","286690","0.007795877079772576"
"globecoordinate_latitude","anonymous","refinement","37","937","974","0.037987679671457907"
"globecoordinate_latitude","human","unrefinement","76","9889","9965","0.007626693426994481"
"globecoordinate_latitude","bot","refinement","1","70095","70096","1.4266149280986076e-05"
"globecoordinate_latitude","bot","unrefinement","0","20535","20535","0"
"globecoordinate_longitude","bot","property_value_update","46","350972","351018","0.00013104741067409648"
"globecoordinate_longitude","human","refinement","107","24137","24244","0.004413463124896881"
"globecoordinate_longitude","anonymous","property_value_update","716","11420","12136","0.05899802241265656"
"globecoordinate_longitude","anonymous","unrefinement","10","146","156","0.0641025641025641"
"globecoordinate_longitude","human","property_value_update","2269","292814","295083","0.007689361976121973"
"globecoordinate_longitude","anonymous","refinement","33","837","870","0.03793103448275862"
"globecoordinate_longitude","human","unrefinement","77","6235","6312","0.012198986058301648"
"globecoordinate_longitude","bot","refinement","1","71656","71657","1.3955370724423295e-05"
"globecoordinate_longitude","bot","unrefinement","0","16554","16554","0"
"time","bot","property_value_update","1932","28505","30437","0.06347537536550908"
"time","human","refinement","2780","395544","398324","0.006979243028288529"
"time","anonymous","property_value_update","55892","81913","137805","0.40558760567468527"
"time","anonymous","unrefinement","525","1672","2197","0.23896222121074193"
"time","human","property_value_update","14485","349906","364391","0.039751256205559415"
"time","anonymous","refinement","2542","29397","31939","0.07958921694480103"
"time","human","unrefinement","1346","29919","31265","0.043051335359027665"
"time","bot","refinement","15271","157433","172704","0.08842296646284974"
"time","bot","unrefinement","19","18206","18225","0.0010425240054869685"
"text","bot","re_formatting","37190","4027945","4065135","0.00914852766267295"
"text","bot","property_value_update","148741","1205159","1353900","0.10986114188640224"
"text","human","refinement","73185","5671286","5744471","0.01274007650138716"
"text","anonymous","property_value_update","167123","206418","373541","0.44740202548046937"
"text","anonymous","unrefinement","19425","78190","97615","0.19899605593402653"
"text","human","property_value_update","75566","2421699","2497265","0.030259503897263607"
"text","human","textual_change","16647","1140949","1157596","0.014380664756961842"
"text","anonymous","re_formatting","14405","69270","83675","0.1721541679115626"
"text","anonymous","refinement","68594","220392","288986","0.2373609794246088"
"text","human","unrefinement","30011","1629495","1659506","0.018084297375242996"
"text","bot","textual_change","13952","535680","549632","0.025384257102934328"
"text","anonymous","textual_change","28304","55499","83803","0.3377444721549348"
"text","bot","refinement","80882","1907736","1988618","0.0406724670097525"
"text","bot","unrefinement","24404","1961041","1985445","0.012291451034906533"
"text","human","re_formatting","61522","2127643","2189165","0.02810295249558622"
"entity","bot","property_value_update","26105","584064","610169","0.042783228908712174"
"entity","human","refinement","23757","1572160","1595917","0.01488611249833168"
"entity","anonymous","property_value_update","212918","209291","422209","0.504295266088596"
"entity","anonymous","unrefinement","3553","21809","25362","0.1400914754356912"
"entity","anonymous","link_change","8025","25383","33408","0.24021192528735633"
"entity","human","property_value_update","58603","1666940","1725543","0.0339620629564143"
"entity","bot","link_change","20887","6108818","6129705","0.0034075049288668866"
"entity","anonymous","refinement","11162","65492","76654","0.1456153625381585"
"entity","human","link_change","12419","502408","514827","0.02412266644911786"
"entity","human","unrefinement","9739","264170","273909","0.03555560423352281"
"entity","bot","refinement","5907","505291","511198","0.011555209527423817"
"entity","bot","unrefinement","19264","201862","221126","0.08711775186997459"
