,revision_id,entity_id,entity_label,value_id,change_target,property_id,property_label,old_value,old_value_label,new_value,new_value_label,datatype,action,target,instance_of_main_entity,latest_description,new_value_description,old_value_description,label,subclass_of_main_entity,length_diff_abs,token_count_old,token_count_new,token_overlap,old_in_new,new_in_old,levenshtein_distance,edit_distance_ratio,complete_replacement,structure_similarity,high_token_overlap,full_cosine_similarity,label_cosine_similarity,description_cosine_similarity,new_value_part_of_old_value,old_value_part_of_new_value,new_value_subclass_old_value,old_value_subclass_new_value,new_value_has_parts_old_value,old_value_has_parts_new_value,new_value_located_in_old_value,old_value_located_in_new_value,new_value_is_metaclass_for_old_value,old_value_is_metaclass_for_new_value
46,1844072744,279145,Reg White,Q279145$2a1a2654-4fbc-a774-a7d6-43373017780c,,1344,participant in,"""Q7400280""",sailing at the 1976 Summer Olympics – Tornado,"""Q8444""",1976 Summer Olympics,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,Sailor and boat builder (1935–2010),"Games of the XXI Olympiad, in Montréal, Canada",Sailing at the Olympics,unrefinement,,25,8,3,0.375,0,1,25,0.5555555555555556,0,0.375,0,0.9364927,0.72197646,0.39593965,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
63,782534683,35591,Tigris,Q35591$00ED0258-EB59-4D69-9BE0-AB4B402894AD,,974,tributary,"""Q16372048""",Botan River,"""Q894622""",Botan River,wikibase-entityid,UPDATE,PROPERTY_VALUE,river,river flowing from Turkey through Iraq and Syria,river in Turkey,river in Turkey,link_change,,0,2,2,1.0,1,1,0,0.0,0,1.0,0,0.9941641,0.99999994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,1735228780,178237,Chris de Burgh,Q178237$F156C35E-5AC8-44C3-9C57-95C36BCB4C67,,735,given name,"""Q339346""",Christopher John,"""Q95569074""",Christopher John,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,British-Irish singer-songwriter and instrumentalist,male given name,unisex given name,link_change,,0,2,2,1.0,1,1,0,0.0,0,1.0,0,0.9829992,1.0,0.5880507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2287231512,48003,paddleboarding,Q48003$a6a56bec-4b4f-f848-658f-9be85fc89054,,2283,uses,"""Q97097762""",paddleboard,"""Q131444115""",paddleboard,wikibase-entityid,UPDATE,PROPERTY_VALUE,,sport,board used for the paddleboarding,type of product; surfing,link_change,sport,0,1,1,1.0,1,1,0,0.0,0,1.0,0,0.9704697,0.99999994,0.40202078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,22278200,110176,circumscribed circle,q110176$A9CE5B83-9C7F-4496-B4C5-E984EEEBC690,,31,instance of,"""Q17278""",circle,"""Q10615343""",triangle circles,wikibase-entityid,UPDATE,PROPERTY_VALUE,,circle that passes through all the vertices of a polygon,circles defined for a triangle,simple curve of Euclidean geometry,property_value_update,circle,10,1,2,0.0,1,0,10,0.625,0,0.5,0,0.9392683,0.7501068,0.41661155,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,630884354,154700,solar power plants in the Mojave Desert,Q154700$59C9E275-9450-4957-8EEF-91C6BA61995C,,31,instance of,"""Q811430""",fixed construction,"""Q159719""",power station,wikibase-entityid,UPDATE,PROPERTY_VALUE,,construction,facility generating electric power,artificially constructed entity meant to remain at a fixed geographic location,property_value_update,solar power plant,5,2,2,0.0,0,0,10,0.5555555555555556,1,1.0,0,0.9545858,0.24239081,0.16463661,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,528123069,193145,animal migration,Q193145$af8c2339-4613-8a6b-a853-01ced7f5fe48,,279,subclass of,"""Q3775939""",migration,"""Q1800545""",migration,wikibase-entityid,UPDATE,PROPERTY_VALUE,,"movement of animals from place to place, usually seasonal",displacement of a human or animal population,displacement of a human or animal population,link_change,"animal behavior, migration, recurring event",0,1,1,1.0,1,1,0,0.0,0,1.0,0,0.9959285,0.9999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,144332809,170475,oscillation,Q170475$881e7b54-439f-3855-a2c1-1df97b1a83cb,,279,subclass of,"""Q35120""",entity,"""Q3249551""",process,wikibase-entityid,UPDATE,PROPERTY_VALUE,,repetitive variation of some measure about a central value,series of events which occur over an extended period of time,"anything that can be considered, discussed, or observed",property_value_update,change,1,1,1,0.0,0,0,7,1.0,1,1.0,0,0.9699956,0.28577584,0.22824843,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,1729261174,464118,improper integral,q464118$470AE396-CF25-4F68-8C72-D5CE189C78A8,,279,subclass of,"""Q1991596""",definite integral,"""Q80091""",integral,wikibase-entityid,UPDATE,PROPERTY_VALUE,,limit of a definite integral with as one or both limits approach infinity or values at which the integrand is undefined,operation in calculus,signed area of the region in the plane that is bounded by the graph of a given function between two points in the real line,unrefinement,integral,9,2,1,0.5,0,1,9,0.5294117647058824,0,0.5,0,0.89309156,0.8368205,0.18868466,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,472255529,190382,ionization,Q190382$a9c82195-40a2-32e9-5108-56651ab4edb7,,2283,uses,"""Q11432""",gas,"""Q29147941""",gaseous state of matter,wikibase-entityid,UPDATE,PROPERTY_VALUE,,process by which atoms or molecules acquire charge by gaining or losing electrons,"one of the four fundamental states of matter, characterized by an absent free surface",fundamental state of matter in which constituent particles are widely separated with weak intermolecular bonds,refinement,"chemical reaction, phase change",20,1,4,0.0,1,0,20,0.8695652173913043,0,0.25,0,0.95618236,0.5324492,0.5258959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
