,revision_id,entity_id,entity_label,value_id,change_target,property_id,property_label,old_value,old_value_label,new_value,new_value_label,datatype,action,target,instance_of_main_entity,latest_description,new_value_description,old_value_description,label,subclass_of_main_entity,relative_value_diff_latitude,relative_value_diff_longitude,latitude_sign_change,longitude_sign_change,latitude_whole_number_change,longitude_whole_number_change,coordinate_distance_km,latitude_precision_change,longitude_precision_change,latitude_length_increase,latitude_length_decrease,longitude_length_increase,longitude_length_decrease,longitude_shared_prefix,longitude_shared_prefix_length,latitude_shared_prefix,latitude_shared_prefix_length,full_cosine_similarity
15,749472266,49302542,Gibraltar Lake,Q49302542$6091F94A-4167-4BD9-A8E5-999BD0E75EC4,,625,coordinate location,"{""latitude"": 59.3551, ""longitude"": -154.69447}",,"{""latitude"": 59.355, ""longitude"": -154.69444444444}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,1.6847751920781813e-06,1.6520021692185816e-07,0.0,0.0,False,False,0.011213433099703534,1,1,0,1,1,0,1,4,1,3,0.9775036
45,2023623393,51614,Anatolia,q51614$9600BE36-A162-4133-BF0A-EEB943BCB67B,,625,coordinate location,"{""latitude"": 39, ""longitude"": 32}",,"{""latitude"": 39, ""longitude"": 35}",,globecoordinate,UPDATE,PROPERTY_VALUE,peninsula,peninsula in Western Asia,,,property_value_update,,0.0,0.09375,0.0,0.0,False,True,259.2323343550929,0,0,0,0,0,0,0,0,0,0,0.9903043
50,2066218756,27031091,Ignacio Allende,Q27031091$ebb6164a-410a-4b08-7204-2a5c7ae6be7b,,625,coordinate location,"{""latitude"": 27.8833, ""longitude"": -106.2}",,"{""latitude"": 27.86784, ""longitude"": -106.2202}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"refinement, property_value_update",,0.0005544537411281077,0.00019020715630887626,0.0,0.0,False,False,2.6263001214378208,1,1,1,0,1,0,1,1,1,1,0.97354364
82,620496593,315636,Alcantara,q315636$3C0F29A9-3270-420D-B531-520D9160D242,,625,coordinate location,"{""latitude"": 9.9833333333333, ""longitude"": 123.4}",,"{""latitude"": 9.966897, ""longitude"": 123.444374}",,globecoordinate,UPDATE,PROPERTY_VALUE,municipality of the Philippines,municipality of the Philippines in the province of Cebu,,,"refinement, property_value_update",,0.001646377295489262,0.00035959481361418625,0.0,0.0,False,False,5.191889720267697,1,1,0,1,1,0,1,1,1,1,0.99293935
84,756675990,49302769,Guiles Lake,Q49302769$8AFC9065-5D84-44DC-9E1A-2CE11E69C4F4,,625,coordinate location,"{""latitude"": 45.75001, ""longitude"": -122.77607}",,"{""latitude"": 45.75, ""longitude"": -122.77611111111}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,2.185791872651861e-07,3.3484627740249296e-07,0.0,0.0,False,False,0.0033780945494430925,1,1,0,1,1,0,1,3,1,2,0.9749359
87,2330220401,270294,Saint-Jean-Pied-de-Port,q270294$F22AB246-BF28-4364-B82B-0B2ECE43D148,,625,coordinate location,"{""latitude"": 43.16305555555556, ""longitude"": -1.2375}",,"{""latitude"": 43.16305555555556, ""longitude"": -1.2380555555555555}",,globecoordinate,UPDATE,PROPERTY_VALUE,commune of France,"commune in Pyrénées-Atlantiques, France",,,property_value_update,,0.0,0.0004489337822670063,0.0,0.0,False,False,0.04505926519897799,0,0,0,0,1,0,1,2,1,14,0.9942844
114,748328638,49302719,Green Lake,Q49302719$613DF495-922B-4628-854F-C5EDF273B7DB,,625,coordinate location,"{""latitude"": 60.05758, ""longitude"": -150.4968}",,"{""latitude"": 60.0575, ""longitude"": -150.49666666667}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,"unrefinement, property_value_update",,1.3320550046151845e-06,8.859545851634024e-07,0.0,0.0,False,False,0.0115712154621871,1,1,0,1,1,0,1,3,1,4,0.9737282
129,1700295345,220881,Hällefors Municipality,q220881$83A6CC58-A159-4D46-AFDA-A6E5E7A2FF05,,625,coordinate location,"{""latitude"": 59.766666666667, ""longitude"": 14.516666666667}",,"{""latitude"": 59.766666666666666, ""longitude"": 14.516666666666667}",,globecoordinate,UPDATE,PROPERTY_VALUE,municipality of Sweden,"municipality in Örebro County, Sweden",,,refinement,,5.5876478383811245e-15,2.2882576048301208e-14,0.0,0.0,False,False,4.1180292356144746e-11,1,1,1,0,1,0,1,11,1,11,0.9968421
146,731117109,1032,Niger,q1032$4b6d5592-477f-26ac-58f1-b47f2413db29,,625,coordinate location,"{""latitude"": 16, ""longitude"": 10}",,"{""latitude"": 17, ""longitude"": 10}",,globecoordinate,UPDATE,PROPERTY_VALUE,"country, landlocked country, republic, sovereign state",sovereign state in western Africa,,,property_value_update,,0.0625,0.0,0.0,0.0,True,False,111.19492664455889,0,0,0,0,0,0,0,0,0,0,0.9936198
154,355957916,16538173,Castello di Sorci,Q16538173$2edcd3fe-499a-c057-8eac-450b00b9cf63,,625,coordinate location,"{""latitude"": 43.514330555556, ""longitude"": -12.075702777778}",,"{""latitude"": 43.514330555556, ""longitude"": 12.075702777778}",,globecoordinate,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,0.0,2.0,0.0,1.0,False,False,1940.6480444626006,1,1,0,0,0,0,1,12,1,12,0.9726666
