,revision_id,entity_id,entity_label,value_id,change_target,property_id,property_label,old_value,old_value_label,new_value,new_value_label,datatype,action,target,instance_of_main_entity,latest_description,new_value_description,old_value_description,label,subclass_of_main_entity,sign_change,precision_change,precision_added,precision_removed,length_increase,length_decrease,whole_number_change,shared_prefix,shared_prefix_length,full_cosine_similarity
0,1037134815,67659306,[SPD2011] 15588,Q67659306$4ca42dea-4167-489f-acb3-823f82d94d6c,,6257,right ascension,"""+241.7508""",,"""+241.75083""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,0,1,0,0,1,0,0,1,4,0.9818166
2,796902368,11684158,Abraham Receiving the Three Angels,Q11684158$FE3430FF-A84C-48E8-8EA2-265CA000471C,,2048,height,"""+236""",,"""+236.2""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,0,1,1,0,1,0,0,0,0,0.9835721
6,356869744,241320,Julie Halard-Decugis,Q241320$2228B197-CFBF-4312-A4B2-26050713B55A,,2067,mass,"""+56.6""",,"""+56.60""",,quantity,UPDATE,PROPERTY_VALUE,human,French tennis player,,,refinement,,0,1,0,0,1,0,0,1,1,0.9936422
7,958361840,20561384,Boknafjellet,Q20561384$41d6f086-4a36-44c5-a31c-cfeab5ad77be,,2660,topographic prominence,"""+293.4""",,"""+293""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,0,1,0,1,0,1,0,0,0,0.9757977
13,1671587817,2790726,Källö-Knippla,Q2790726$A86C1B43-0C5B-4DEF-B1E7-9947D9816D83,,2046,area,"""+34.5""",,"""+34""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,0,1,0,1,0,1,0,0,0,0.9596224
14,1845450575,115103052,Navid Abdolmaleki,Q115103052$ca99f75f-473c-b09d-8ea1-1f96f3680d0c,,2048,height,"""+187.96""",,"""+187""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,0,1,0,1,0,1,0,0,0,0.9698234
17,821128033,318890,Trams in Ulm,Q318890$098a4ef6-4994-8afc-4e98-1ccc604256bb,,2043,length,"""+19""",,"""+19.1""",,quantity,UPDATE,PROPERTY_VALUE,tram system,tram system,,,refinement,,0,1,1,0,1,0,0,0,0,0.98385674
18,1307321831,101906019,Nouvelles Galeries Building,Q101906019$0a73acd0-4c59-8864-b835-1739e2c38bbe,,1101,floors above ground,"""+4""",,"""+5""",,quantity,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,0,0,0,0,0,0,1,0,0,0.97756016
20,677489961,528594,Tielenhemme,Q528594$5774D93C-6A82-43FD-A426-E118EDC8A6D8,,2046,area,"""+12.71000000000000085265128291212022304534912109375""",,"""+12.71""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,0,1,0,0,0,1,0,1,2,0.8903947
24,1037127995,67659802,[SPD2011] 15763,Q67659802$ce74e60d-98b4-4fb1-8456-0f94c79e3851,,6257,right ascension,"""+208.2579""",,"""+208.25792""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,0,1,0,0,1,0,0,1,4,0.97947997
25,1035514084,60224254,ESO 553-16,Q60224254$d5dd2987-552e-4227-9d10-fdb81daf2832,,6257,right ascension,"""+77.7750""",,"""+77.77500""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,0,1,0,0,1,0,0,1,4,0.97521603
26,677491951,528238,Waldstetten,Q528238$B63D31C1-8D0B-4E0F-A3AF-C46960D59ACD,,2046,area,"""+11.1300000000000007815970093361102044582366943359375""",,"""+11.13""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,0,1,0,0,0,1,0,1,2,0.86630297
33,2263850616,17328206,The Noite com Danilo Gentili,Q17328206$73e48e1d-467e-a8ee-bf04-310887467cd7,,2437,number of seasons,"""+7""",,"""+11""",,quantity,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,0,0,0,0,1,0,1,0,0,0.98011446
34,605957088,130582,China men's national football team,Q130582$2B85F992-74D0-4656-8265-3E6EABA84B98,,1352,ranking,"""+24904""",,"""+88""",,quantity,UPDATE,PROPERTY_VALUE,men's national association football team,men's national association football team representing the People's Republic of China,,,property_value_update,,0,0,0,0,0,1,1,0,0,0.99193084
36,430142679,17333403,Yamna,Q17333403$84897C84-6CBC-45DE-B34C-003EBFB63EB5,,2043,length,"""+156""",,"""+15.6""",,quantity,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,0,0,0,0,1,0,1,0,0,0.9624265
38,1037086656,67658855,[SPD2011] 15411,Q67658855$797bc34c-9b66-43ea-9bfb-894a514e667b,,6257,right ascension,"""+158.6258""",,"""+158.62583""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,0,1,0,0,1,0,0,1,4,0.9831456
42,1035345808,60224307,CGCG 307-010,Q60224307$7e5930a1-29c8-4b85-afa2-4e7d8efafc90,,6257,right ascension,"""+80.203408""",,"""+80.2034083""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,0,1,0,0,1,0,0,1,6,0.97596705
47,1037064111,67660357,[SPD2011] 1597,Q67660357$840da6f4-7fc4-45e5-9626-7fc780047c61,,6257,right ascension,"""+241.2883""",,"""+241.28833""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,0,1,0,0,1,0,0,1,4,0.98058486
51,1010213968,589317,R Leonis,Q589317$6adafb52-a4b0-4c49-9048-06405cae90f7,,1215,apparent magnitude,"""-2.51""",,"""+2.51""",,quantity,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,1,0,0,0,0,0,0,1,2,0.9596354
54,1037161300,67658434,[SPD2011] 15248,Q67658434$73e6b3c5-465e-4615-bcc5-8299524cb9d9,,6257,right ascension,"""+144.4275""",,"""+144.42750""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,0,1,0,0,1,0,0,1,4,0.9734054
55,1036139344,15939430,71 Pegasi,Q15939430$fb760b93-e6e4-49ee-bed1-febec5abcef4,,1215,apparent magnitude,"""+0.585""",,"""-0.585""",,quantity,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,1,0,0,0,0,0,0,1,3,0.96850693
62,1819435938,11678849,Kurobegawa No.4 Power Station,Q11678849$27A20943-83D4-4EF1-872B-980632DB5E1E,,2109,nominal power output,"""+335""",,"""+337""",,quantity,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,0,0,0,0,0,0,1,0,0,0.9794409
65,1042281701,2790005,Björna,Q2790005$D147A7F1-959E-414C-9CAC-26124AC80367,,1082,population,"""+396.5""",,"""+396""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,0,1,0,1,0,1,0,0,0,0.9672489
66,1569271099,101936512,Wonder of the Seas,Q101936512$2dd7b006-4d7e-3aba-3589-bea4362d0835,,2261,beam,"""+66""",,"""+210""",,quantity,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,0,0,0,0,1,0,1,0,0,0.9667641
67,2291589792,50527563,Lil Baby,Q50527563$54f362ff-4f78-528f-eaf4-2f44ac0ad375,,2048,height,"""+173.1""",,"""+173""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,0,1,0,1,0,1,0,0,0,0.9720325
72,1036701656,60224270,ESO 119-49,Q60224270$59a658bf-3e7b-4378-b1f3-31229c32d566,,6257,right ascension,"""+78.679650""",,"""+78.6796500""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,0,1,0,0,1,0,0,1,6,0.98166496
79,1042225621,1736327,Perstorp,Q1736327$C6812373-D2F2-43F3-917D-9E7C061DB7B6,,1082,population,"""+6068.5""",,"""+6068""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,0,1,0,1,0,1,0,0,0,0.97032964
80,1037135095,67660199,[SPD2011] 15900,Q67660199$012cf278-c36b-4e3b-b123-99487628f588,,6257,right ascension,"""+200.0983""",,"""+200.09833""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,0,1,0,0,1,0,0,1,4,0.97751176
110,593442478,43091309,Two female Nudes,Q43091309$D93EAD24-43A4-4080-99D1-27FA0E6719C2,,2048,height,"""+59.10000000000000142108547152020037174224853515625""",,"""+59.1""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,0,1,0,0,0,1,0,1,1,0.91117114
113,604079906,285708,Macau men's national football team,Q285708$BBD51F33-A438-421C-A3DB-21F71E84D3B5,,1352,ranking,"""+50446""",,"""+180""",,quantity,UPDATE,PROPERTY_VALUE,national association football team,national association football team,,,property_value_update,,0,0,0,0,0,1,1,0,0,0.9763704
