,revision_id,entity_id,entity_label,value_id,change_target,property_id,property_label,old_value,old_value_label,new_value,new_value_label,datatype,action,target,instance_of_main_entity,latest_description,new_value_description,old_value_description,label,subclass_of_main_entity,length_diff_abs,token_count_old,token_count_new,token_overlap,old_in_new,new_in_old,levenshtein_distance,edit_distance_ratio,complete_replacement,structure_similarity,high_token_overlap,char_insertions,char_deletions,adjacent_char_swap,avg_word_similarity,has_significant_prefix,has_significant_suffix,full_cosine_similarity
1,270424080,237701,Simenon,label,,-1,label,"""Georges Simenon""",,"""Simenon""",,string,UPDATE,PROPERTY_VALUE,Wikimedia disambiguation page,Wikimedia disambiguation page,,,unrefinement,,8,2,1,0.5,0,1,8,0.5333333333333333,0,0.5,0,0,5,0,3.5,0,1,0.9761505
3,2259773678,466546,Lyudmila Zykina,q466546$3dbe8d87-4315-71e6-ac6b-e74c15a613d2,,6394,ELNET ID,"""a11388250""",,"""11388250""",,string,UPDATE,PROPERTY_VALUE,human,Russian folk singer (1929-2009),,,re_formatting,,1,1,1,0.0,0,1,1,0.1111111111111111,0,1.0,0,0,1,0,1.0,0,1,0.993711
4,205009899,198091,Empress Zhu,label,,-1,label,"""Empress Zhu (Jing)""",,"""Empress Zhu""",,string,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,7,3,2,0.6666666666666666,0,1,7,0.3888888888888889,0,0.6666666666666667,0,0,6,0,4.5,1,0,0.9754642
5,2180985656,111219756,K. P. Tripathi,description,,-2,description,"""indian politician from Madhya Pradesh""",,"""Indian politician from Madhya Pradesh""",,string,UPDATE,PROPERTY_VALUE,human,Indian politician from Madhya Pradesh,,,re_formatting,,0,5,5,0.6666666666666666,0,0,0,0.0,0,1.0,0,1,0,0,5.6,0,1,0.9971285
9,1501226773,99884647,Dorothy Waldegrave,description,,-2,,"""-""",,"""(est. 9 Mar 1529 - before 19 May 1597)""",,string,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,37,1,9,0.1111111111111111,1,0,37,0.9736842105263158,0,0.11111111111111116,0,37,0,0,3.2222222222222223,0,0,0.88040626
10,503596428,30339237,Éric Pauget,label,,-1,label,"""Eric Pauget""",,"""Éric Pauget""",,string,UPDATE,PROPERTY_VALUE,,,,,textual_change,,0,2,2,0.3333333333333333,0,0,1,0.09090909090909091,0,1.0,0,1,1,0,3.25,0,1,0.9725658
11,1165524989,2976561,game classification,description,,-2,description,"""tyoe of classification""",,"""type of classification""",,string,UPDATE,PROPERTY_VALUE,,,,,textual_change,,0,3,3,0.5,0,0,1,0.045454545454545456,0,1.0,0,1,0,0,6.555555555555555,0,1,0.9587867
12,620010650,2976265,1999 ASB Classic,description,,-2,description,"""tennis tournam,ent""",,"""tennis tournament""",,string,UPDATE,PROPERTY_VALUE,,,,,textual_change,,1,2,2,0.3333333333333333,0,0,1,0.05555555555555555,0,1.0,0,0,1,0,4.5,1,1,0.9277958
21,2038284346,86226,Emil Mazuw,Q86226$4EAD4398-36EB-40BE-A017-45EF4C4E368D,,213,ISNI,"""0000 0000 1721 8242""",,"""0000000017218242""",,string,UPDATE,PROPERTY_VALUE,human,German general (1900-1987),,,re_formatting,,3,4,1,0.0,0,0,3,0.15789473684210525,1,0.25,0,0,3,0,12.0,1,1,0.97753584
28,2306841041,111219120,Duankou,description,,-2,description,"""A mountain in Laishui County""",,"""mountain in Laishui County""",,string,UPDATE,PROPERTY_VALUE,mountain,mountain in Laishui County,,,re_formatting,,2,5,4,0.8,0,1,2,0.07142857142857142,0,0.8,0,0,1,0,4.65,0,1,0.99534094
