,revision_id,entity_id,entity_label,value_id,change_target,property_id,property_label,old_value,old_value_label,new_value,new_value_label,datatype,action,target,instance_of_main_entity,latest_description,new_value_description,old_value_description,label,subclass_of_main_entity,date_diff_days,sign_change,change_one_to_zero,change_one_to_value,change_zero_to_one,day_added,day_removed,month_added,month_removed,full_cosine_similarity
8,1428393579,40197,Lillian Moller Gilbreth,q40197$F51E01CF-D2AC-4C7C-9A7A-0016AC2374A8,,569,date of birth,"""+1878-05-17T00:00:00Z""",,"""+1567-05-17T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,American psychologist and industrial engineer (1878–1972),,,property_value_update,,113592,0,0,0,0,0,0,0,0,0.99505556
16,994927373,430293,The Resurrection,q430293$da663205-40b0-8f19-4e88-458454efcef6,,571,inception,"""+1463-01-01T00:00:00Z""",,"""+1463-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,fresco,fresco by Piero della Francesca,,,re_formatting,,31,0,1,0,0,0,1,0,1,0.9922017
19,1479386736,7280,Emperor He of Han,Q7280$49383EDE-1D5D-4CE9-A4F3-DDC405CFF7E3,,569,date of birth,"""+79-01-01T00:00:00Z""",,"""+79-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,emperor of the Han Dynasty,,,re_formatting,,31,0,1,0,0,0,1,0,1,0.9937793
22,1411410925,133783,Heather Bleasdale,Q133783$B3748B63-B8AC-4C31-BB1C-46AF2A324F88,,569,date of birth,"""+1953-01-01T00:00:00Z""",,"""+2000-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,British actress,,,property_value_update,,17197,0,0,0,0,0,1,0,1,0.9837533
23,820574190,312913,Suintila,Q312913$D03452BE-9CF8-4179-B89F-357F4AE1DAED,,570,date of death,"""+634-01-01T00:00:00Z""",,"""+634-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Visigoth king,,,re_formatting,,31,0,1,0,0,0,1,0,1,0.984846
27,1271544511,32458162,Lúcio Kowarick,Q32458162$552afe35-428d-a890-2d05-ddce49c66e9c,,569,date of birth,"""+1938-00-00T00:00:00Z""",,"""+1938-02-11T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,,,,,refinement,,71,0,0,0,0,1,0,1,0,0.9863104
31,466603532,25917120,"The old Parish Church, Flint, in 1800",Q25917120$4782D0A6-A819-486C-8D89-46EE90F6AFD6,,571,inception,"""+1801-01-17T00:00:00Z""",,"""+1801-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,47,0,1,0,0,0,1,0,1,0.99356866
35,670798729,176455,Melanie Griffith,Q176455$7A38198D-394E-492D-B6A0-9D88764D9802,,569,date of birth,"""+1958-08-09T00:00:00Z""",,"""+1957-08-09T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,American actress,,,property_value_update,,365,0,0,0,0,0,0,0,0,0.9924922
37,1166287188,392310,LASK Linz,Q392310$E3558660-6CBC-4543-BC46-C605B6838892,,571,inception,"""+1908-08-07T00:00:00Z""",,"""+1899-08-07T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,association football club,association football club in Austria,,,property_value_update,,3287,0,0,0,0,0,0,0,0,0.9971069
39,718633237,19875057,2015 Leeds City Council election,Q19875057$333EAEB5-9967-4AA1-8F77-2573BB0EC04B,,585,point in time,"""+2015-00-00T00:00:00Z""",,"""+2015-05-07T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,,,,,refinement,,159,0,0,0,0,1,0,1,0,0.9917368
40,2153866685,156539,Highlander,Q156539$60abfc87-42d0-728e-c1bb-a06b5f831030,,577,publication date,"""+1986-08-29T00:00:00Z""",,"""+1986-03-07T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,film,1986 film by Russell Mulcahy,,,property_value_update,,174,0,0,0,0,0,0,0,0,0.9977215
44,2071184901,37108974,Marius Storvik,Q37108974$99af4d1e-48a9-38b9-7e00-572299ba9d67,,569,date of birth,"""+1977-12-05T00:00:00Z""",,"""+1977-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,370,0,0,0,0,0,1,0,1,0.9856887
48,1925914799,367016,Realdo Colombo,q367016$6850D5E4-7D6C-4742-969F-6F9E435C0EC7,,569,date of birth,"""+1516-01-01T00:00:00Z""",,"""+1516-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Italian physician,,,re_formatting,,31,0,1,0,0,0,1,0,1,0.9923179
49,1479447987,3263096,Louis Sauvat,Q3263096$FE39BEEA-0393-4F23-82D1-A1D2713F80A4,,570,date of death,"""+1978-00-00T00:00:00Z""",,"""+1978-09-01T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,,,,,refinement,,274,0,0,0,1,1,0,1,0,0.9879321
56,2072814477,266684,György Ekrem-Kemál,Q266684$FDE145F3-D01B-4F0E-97DB-7CA03AB3FD25,,569,date of birth,"""+1946-01-01T00:00:00Z""",,"""+1946-06-29T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Hungarian political activist (1946-2009),,,refinement,,180,0,0,1,0,1,0,1,0,0.997778
57,2284413356,93894,ASRock,Q93894$BDEC011C-28EC-46BE-8A82-9E0336F7833B,,571,inception,"""+2002-01-01T00:00:00Z""",,"""+2002-05-10T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,"brand, business, enterprise, technology company",Taiwanese electronics manufacturer,,,refinement,,130,0,0,1,0,1,0,1,0,0.99401104
60,528869956,161054,Ivan Perišić,Q161054$9AB3AACB-26E9-493A-8F46-EF17887F5448,,569,date of birth,"""+1989-02-02T00:00:00Z""",,"""+1999-08-27T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Croatian association football player,,,property_value_update,,3859,0,0,0,0,0,0,0,0,0.9963305
68,1632032348,426323,Frank Finn,Q426323$9895E8EF-1C3C-46F1-ADFF-DE7194FAF9CC,,569,date of birth,"""+1868-01-01T00:00:00Z""",,"""+1868-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,English ornithologist,,,re_formatting,,31,0,1,0,0,0,1,0,1,0.99477565
70,2144352535,5111676,Christoforos Nezer,Q5111676$AB86930C-C529-4828-92FD-048DEE72E0F3,,569,date of birth,"""+1808-03-01T00:00:00Z""",,"""+1808-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,92,0,1,0,0,0,1,0,1,0.98355097
75,1752823574,141342,Zubtsov,Q141342$06F19D20-DF9D-4BC5-A05B-76259A691B3E,,571,inception,"""+1216-01-01T00:00:00Z""",,"""+1216-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,"city or town, human settlement",town in Russia,,,re_formatting,,31,0,1,0,0,0,1,0,1,0.99460053
77,1523952957,352918,Emilio Mola,Q352918$fd288c3d-433f-4752-d168-0b41de601401,,2032,work period (end),"""+1936-00-00T00:00:00Z""",,"""+1937-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Spanish military commander (1887-1937),,,property_value_update,,365,0,0,0,0,0,0,0,0,0.99541134
