revision_id,property_id,value_id,change_target,new_value_part_of_old_value,old_value_part_of_new_value,new_value_subclass_old_value,old_value_subclass_new_value,new_value_has_parts_old_value,old_value_has_parts_new_value,new_value_located_in_old_value,old_value_located_in_new_value,new_value_is_metaclass_for_old_value,old_value_is_metaclass_for_new_value
1844072744,1344,Q279145$2a1a2654-4fbc-a774-a7d6-43373017780c,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
782534683,974,Q35591$00ED0258-EB59-4D69-9BE0-AB4B402894AD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735228780,735,Q178237$F156C35E-5AC8-44C3-9C57-95C36BCB4C67,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2287231512,2283,Q48003$a6a56bec-4b4f-f848-658f-9be85fc89054,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22278200,31,q110176$A9CE5B83-9C7F-4496-B4C5-E984EEEBC690,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
630884354,31,Q154700$59C9E275-9450-4957-8EEF-91C6BA61995C,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528123069,279,Q193145$af8c2339-4613-8a6b-a853-01ced7f5fe48,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144332809,279,Q170475$881e7b54-439f-3855-a2c1-1df97b1a83cb,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729261174,279,q464118$470AE396-CF25-4F68-8C72-D5CE189C78A8,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
472255529,2283,Q190382$a9c82195-40a2-32e9-5108-56651ab4edb7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2189704453,279,Q152547$2E0BB1B8-D100-41BF-9D6B-AA315B70A97B,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221073531,31,Q384765$EDB56065-0C6F-4E3B-BD65-AA82E0AF18CA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1074254185,279,Q171594$f330d465-44f2-526c-1f36-cf043d2a5618,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506941493,279,Q263639$404f3b38-49ed-00ad-f000-bb7cbb6fdbf6,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308859499,279,q5518$69f9e9e5-4dfb-bf2e-5036-a1542d0eebc3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7476639,17,q194203$EDD55F5A-2CB9-4326-A510-4C21025AC1A2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992745935,279,Q459221$3ed301fe-4953-a421-7252-043bea992c22,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
308150846,279,Q192611$7484fdbe-419f-216d-a52c-7cdab2a88167,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
650198161,361,Q205895$6c46a4b2-43c7-8f16-610d-ee669a9a59b1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992740536,279,Q257931$f10cd869-409b-0cb4-43a2-c65528e98977,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2298857744,279,Q59545$FEE50844-5EB1-437A-907C-FA97B08884CD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1754856944,1344,Q1651$8d103705-40af-21bb-974e-9080f5d8fe8f,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
992021570,279,Q9603$182c9a35-427d-7f91-980b-ccbce1a016b5,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
706454146,495,Q51482$BFE6A9DE-937D-4731-AEAC-2C7439F3147A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214298073,735,Q154311$EE1F9169-B1F3-4573-B5C5-5CB99899CB8A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6064764,30,q32$B5C031D1-D90B-405E-999F-4C9A5B879AD5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186144467,19,Q113448$3a89abf6-47b7-6dde-c6fc-d7c67b8c096d,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
416027176,131,Q46473$2E7C8BFD-AD5C-4DD8-A869-40A73DE4B88B,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1972270345,150,Q34800$76b3cec5-4a8f-a8d3-c5b1-b8bcb09cd7f3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1604396488,19,q435124$9A5B4371-1109-486E-9F25-E6E54A07653B,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2173677399,161,Q168799$2f176ed0-44f6-d0c7-a233-d8092fcaa7ef,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23991784,131,q258559$BDEC5D61-5B94-4F0B-AE96-7BC85B157F84,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
