revision_id,entity_id,entity_label,value_id,change_target,property_id,property_label,old_value,old_value_label,new_value,new_value_label,datatype,action,target,entity_types_31,entity_description,new_value_description,old_value_description,label,entity_types_279,predicted_class
1844072744,279145,Reg White,Q279145$2a1a2654-4fbc-a774-a7d6-43373017780c,,1344,participant in,"""Q7400280""",sailing at the 1976 Summer Olympics – Tornado,"""Q8444""",1976 Summer Olympics,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,Sailor and boat builder (1935–2010),"Games of the XXI Olympiad, in Montréal, Canada",Sailing at the Olympics,unrefinement,,"property_value_update, link_change"
782534683,35591,Tigris,Q35591$00ED0258-EB59-4D69-9BE0-AB4B402894AD,,974,tributary,"""Q16372048""",Botan River,"""Q894622""",Botan River,wikibase-entityid,UPDATE,PROPERTY_VALUE,river,river flowing from Turkey through Iraq and Syria,river in Turkey,river in Turkey,link_change,,link_change
1735228780,178237,Chris de Burgh,Q178237$F156C35E-5AC8-44C3-9C57-95C36BCB4C67,,735,given name,"""Q339346""",Christopher John,"""Q95569074""",Christopher John,wikibase-entityid,UPDATE,PROPERTY_VALUE,human,British-Irish singer-songwriter and instrumentalist,male given name,unisex given name,link_change,,link_change
2287231512,48003,paddleboarding,Q48003$a6a56bec-4b4f-f848-658f-9be85fc89054,,2283,uses,"""Q97097762""",paddleboard,"""Q131444115""",paddleboard,wikibase-entityid,UPDATE,PROPERTY_VALUE,,sport,board used for the paddleboarding,type of product; surfing,link_change,sport,link_change
22278200,110176,circumscribed circle,q110176$A9CE5B83-9C7F-4496-B4C5-E984EEEBC690,,31,instance of,"""Q17278""",circle,"""Q10615343""",triangle circles,wikibase-entityid,UPDATE,PROPERTY_VALUE,,circle that passes through all the vertices of a polygon,circles defined for a triangle,simple curve of Euclidean geometry,property_value_update,circle,property_value_update
630884354,154700,solar power plants in the Mojave Desert,Q154700$59C9E275-9450-4957-8EEF-91C6BA61995C,,31,instance of,"""Q811430""",fixed construction,"""Q159719""",power station,wikibase-entityid,UPDATE,PROPERTY_VALUE,,construction,facility generating electric power,artificially constructed entity meant to remain at a fixed geographic location,property_value_update,solar power plant,unrefinement
528123069,193145,animal migration,Q193145$af8c2339-4613-8a6b-a853-01ced7f5fe48,,279,subclass of,"""Q3775939""",migration,"""Q1800545""",migration,wikibase-entityid,UPDATE,PROPERTY_VALUE,,"movement of animals from place to place, usually seasonal",displacement of a human or animal population,displacement of a human or animal population,link_change,"animal behavior, migration, recurring event",link_change
144332809,170475,oscillation,Q170475$881e7b54-439f-3855-a2c1-1df97b1a83cb,,279,subclass of,"""Q35120""",entity,"""Q3249551""",process,wikibase-entityid,UPDATE,PROPERTY_VALUE,,repetitive variation of some measure about a central value,series of events which occur over an extended period of time,"anything that can be considered, discussed, or observed",property_value_update,change,refinement
1729261174,464118,improper integral,q464118$470AE396-CF25-4F68-8C72-D5CE189C78A8,,279,subclass of,"""Q1991596""",definite integral,"""Q80091""",integral,wikibase-entityid,UPDATE,PROPERTY_VALUE,,limit of a definite integral with as one or both limits approach infinity or values at which the integrand is undefined,operation in calculus,signed area of the region in the plane that is bounded by the graph of a given function between two points in the real line,unrefinement,integral,unrefinement
472255529,190382,ionization,Q190382$a9c82195-40a2-32e9-5108-56651ab4edb7,,2283,uses,"""Q11432""",gas,"""Q29147941""",gaseous state of matter,wikibase-entityid,UPDATE,PROPERTY_VALUE,,process by which atoms or molecules acquire charge by gaining or losing electrons,"one of the four fundamental states of matter, characterized by an absent free surface",fundamental state of matter in which constituent particles are widely separated with weak intermolecular bonds,refinement,"chemical reaction, phase change",refinement
2189704453,152547,hagelslag,Q152547$2E0BB1B8-D100-41BF-9D6B-AA315B70A97B,,279,subclass of,"""Q185583""",candy,"""Q97371416""",sprinkles,wikibase-entityid,UPDATE,PROPERTY_VALUE,,candy topping,tiny multi-colored candy topping,confection made with sugar,property_value_update,"confection, spread, sprinkles",refinement
221073531,384765,censorship of images in the Soviet Union,Q384765$EDB56065-0C6F-4E3B-BD65-AA82E0AF18CA,,31,instance of,"""Q5""",human,"""Q543""",censorship,wikibase-entityid,UPDATE,PROPERTY_VALUE,,form of censorship,practice of suppressing speech or other public communication which is illegal or against social norms.,"any member of Homo sapiens, unique extant species of the genus Homo",property_value_update,censorship in the Soviet Union,property_value_update
1074254185,171594,semi-major axis,Q171594$f330d465-44f2-526c-1f36-cf043d2a5618,,279,subclass of,"""Q21087484""",semi-axis,"""Q21143897""",semi-axis,wikibase-entityid,UPDATE,PROPERTY_VALUE,,longest interval from a point on an ellipse to its center,term in geometry; longest and shortest semidiameters of an ellipse,,link_change,"length, line segment, semi-axis",unrefinement
