revision_id,entity_id,entity_label,value_id,change_target,property_id,property_label,old_value,old_value_label,new_value,new_value_label,datatype,action,target,entity_types_31,entity_description,new_value_description,old_value_description,label,entity_types_279,predicted_class
1482577924,51374,Stefan-Boltzmann constant,Q51374$333a6d85-4582-e958-f51c-d59dfc9870a7,,1181,numeric value,"""+0.00000005670367""",,"""+0.0000000567037441918442945397099673188923087584012297029130368240546173705394816062652332608257185777044688703926026976455142""",,quantity,UPDATE,PROPERTY_VALUE,"physical constant, proportionality",ratio between the radiative power of a black body to the fourth power of its temperature,,,property_value_update,,refinement
1388140363,528450,Stavsjö,Q528450$979EE3BD-DDBF-4746-9EAE-79EE09C6DA35,,1082,population,"""+215.5""",,"""+215""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,unrefinement
1037184541,67660190,[SPD2011] 15899,Q67660190$245eadf8-942c-4c6b-836e-289d2cc053ae,,6257,right ascension,"""+249.1833""",,"""+249.18333""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,refinement
1671586832,2792187,Glommen,Q2792187$B2075FF9-F5F5-421C-A3C7-5736D1D588B2,,2046,area,"""+180.5""",,"""+180""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,unrefinement
1142771302,2796883,Alvik,Q2796883$3A4D8DC7-420B-4A4A-A04A-FF452FF08558,,1082,population,"""+300.5""",,"""+300""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,unrefinement
1388225202,2794081,Gammelgården,Q2794081$99F7F6F7-9BDA-4B8A-B865-FA8F7F50DA5E,,1082,population,"""+279.5""",,"""+279""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,unrefinement
1010453796,2813416,TX Piscium,Q2813416$c5c37305-083b-4bb0-96c4-0ef952ec8db2,,1215,apparent magnitude,"""-0.21""",,"""+0.21""",,quantity,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,property_value_update
1502667565,11679438,Tappisaki Lighthouse,Q11679438$45770C20-D059-424B-A237-71EA6A1AFDBB,,2048,height,"""+13""",,"""+13.72""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,refinement
1035521000,60224288,ESO 553-33,Q60224288$de83a5fe-9c25-4198-ab21-97a3a05061dd,,6257,right ascension,"""+79.7575""",,"""+79.75750""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,refinement
406313803,2950373,Tun,Q2950373$05a0dec9-45e5-590f-00d0-c16126502727,,2046,area,"""+0.38""",,"""+38""",,quantity,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,property_value_update
1042325253,2956523,Falla,Q2956523$8BC3150B-4574-4F5D-8A9B-49DEA0F0C6C4,,2046,area,"""+65.5""",,"""+65""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,unrefinement
1691335529,20506393,Lumber Mill,Q20506393$E89528B4-613F-415F-9794-813B04BDF338,,2049,width,"""+71.12""",,"""+71.1""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,unrefinement
1671587817,2790726,Källö-Knippla,Q2790726$A86C1B43-0C5B-4DEF-B1E7-9947D9816D83,,2046,area,"""+34.5""",,"""+34""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,unrefinement
1037134815,67659306,[SPD2011] 15588,Q67659306$4ca42dea-4167-489f-acb3-823f82d94d6c,,6257,right ascension,"""+241.7508""",,"""+241.75083""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,refinement
796902368,11684158,Abraham Receiving the Three Angels,Q11684158$FE3430FF-A84C-48E8-8EA2-265CA000471C,,2048,height,"""+236""",,"""+236.2""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,refinement
356869744,241320,Julie Halard-Decugis,Q241320$2228B197-CFBF-4312-A4B2-26050713B55A,,2067,mass,"""+56.6""",,"""+56.60""",,quantity,UPDATE,PROPERTY_VALUE,human,French tennis player,,,refinement,,refinement
958361840,20561384,Boknafjellet,Q20561384$41d6f086-4a36-44c5-a31c-cfeab5ad77be,,2660,topographic prominence,"""+293.4""",,"""+293""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,unrefinement
1845450575,115103052,Navid Abdolmaleki,Q115103052$ca99f75f-473c-b09d-8ea1-1f96f3680d0c,,2048,height,"""+187.96""",,"""+187""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,unrefinement
821128033,318890,Trams in Ulm,Q318890$098a4ef6-4994-8afc-4e98-1ccc604256bb,,2043,length,"""+19""",,"""+19.1""",,quantity,UPDATE,PROPERTY_VALUE,tram system,tram system,,,refinement,,refinement
1307321831,101906019,Nouvelles Galeries Building,Q101906019$0a73acd0-4c59-8864-b835-1739e2c38bbe,,1101,floors above ground,"""+4""",,"""+5""",,quantity,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,property_value_update
677489961,528594,Tielenhemme,Q528594$5774D93C-6A82-43FD-A426-E118EDC8A6D8,,2046,area,"""+12.71000000000000085265128291212022304534912109375""",,"""+12.71""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,unrefinement
1037127995,67659802,[SPD2011] 15763,Q67659802$ce74e60d-98b4-4fb1-8456-0f94c79e3851,,6257,right ascension,"""+208.2579""",,"""+208.25792""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,refinement
1035514084,60224254,ESO 553-16,Q60224254$d5dd2987-552e-4227-9d10-fdb81daf2832,,6257,right ascension,"""+77.7750""",,"""+77.77500""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,refinement
677491951,528238,Waldstetten,Q528238$B63D31C1-8D0B-4E0F-A3AF-C46960D59ACD,,2046,area,"""+11.1300000000000007815970093361102044582366943359375""",,"""+11.13""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,unrefinement
2263850616,17328206,The Noite com Danilo Gentili,Q17328206$73e48e1d-467e-a8ee-bf04-310887467cd7,,2437,number of seasons,"""+7""",,"""+11""",,quantity,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,property_value_update
605957088,130582,China men's national football team,Q130582$2B85F992-74D0-4656-8265-3E6EABA84B98,,1352,ranking,"""+24904""",,"""+88""",,quantity,UPDATE,PROPERTY_VALUE,men's national association football team,men's national association football team representing the People's Republic of China,,,property_value_update,,property_value_update
430142679,17333403,Yamna,Q17333403$84897C84-6CBC-45DE-B34C-003EBFB63EB5,,2043,length,"""+156""",,"""+15.6""",,quantity,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,property_value_update
1037086656,67658855,[SPD2011] 15411,Q67658855$797bc34c-9b66-43ea-9bfb-894a514e667b,,6257,right ascension,"""+158.6258""",,"""+158.62583""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,refinement
1035345808,60224307,CGCG 307-010,Q60224307$7e5930a1-29c8-4b85-afa2-4e7d8efafc90,,6257,right ascension,"""+80.203408""",,"""+80.2034083""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,refinement
1037064111,67660357,[SPD2011] 1597,Q67660357$840da6f4-7fc4-45e5-9626-7fc780047c61,,6257,right ascension,"""+241.2883""",,"""+241.28833""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,refinement
1010213968,589317,R Leonis,Q589317$6adafb52-a4b0-4c49-9048-06405cae90f7,,1215,apparent magnitude,"""-2.51""",,"""+2.51""",,quantity,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,property_value_update
1037161300,67658434,[SPD2011] 15248,Q67658434$73e6b3c5-465e-4615-bcc5-8299524cb9d9,,6257,right ascension,"""+144.4275""",,"""+144.42750""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,refinement
1036139344,15939430,71 Pegasi,Q15939430$fb760b93-e6e4-49ee-bed1-febec5abcef4,,1215,apparent magnitude,"""+0.585""",,"""-0.585""",,quantity,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,property_value_update
1819435938,11678849,Kurobegawa No.4 Power Station,Q11678849$27A20943-83D4-4EF1-872B-980632DB5E1E,,2109,nominal power output,"""+335""",,"""+337""",,quantity,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,property_value_update
1042281701,2790005,Björna,Q2790005$D147A7F1-959E-414C-9CAC-26124AC80367,,1082,population,"""+396.5""",,"""+396""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,unrefinement
1569271099,101936512,Wonder of the Seas,Q101936512$2dd7b006-4d7e-3aba-3589-bea4362d0835,,2261,beam,"""+66""",,"""+210""",,quantity,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,property_value_update
2291589792,50527563,Lil Baby,Q50527563$54f362ff-4f78-528f-eaf4-2f44ac0ad375,,2048,height,"""+173.1""",,"""+173""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,unrefinement
1036701656,60224270,ESO 119-49,Q60224270$59a658bf-3e7b-4378-b1f3-31229c32d566,,6257,right ascension,"""+78.679650""",,"""+78.6796500""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,refinement
1042225621,1736327,Perstorp,Q1736327$C6812373-D2F2-43F3-917D-9E7C061DB7B6,,1082,population,"""+6068.5""",,"""+6068""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,unrefinement
1037135095,67660199,[SPD2011] 15900,Q67660199$012cf278-c36b-4e3b-b123-99487628f588,,6257,right ascension,"""+200.0983""",,"""+200.09833""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,refinement
593442478,43091309,Two female Nudes,Q43091309$D93EAD24-43A4-4080-99D1-27FA0E6719C2,,2048,height,"""+59.10000000000000142108547152020037174224853515625""",,"""+59.1""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,unrefinement
604079906,285708,Macau men's national football team,Q285708$BBD51F33-A438-421C-A3DB-21F71E84D3B5,,1352,ranking,"""+50446""",,"""+180""",,quantity,UPDATE,PROPERTY_VALUE,national association football team,national association football team,,,property_value_update,,property_value_update
1841726379,419,Peru,Q419$490D582F-BE2C-49D3-8385-72B0999BBA4A,,11593,Inequality-adjusted Human Development Index,"""+0.62""",,"""+0.620""",,quantity,UPDATE,PROPERTY_VALUE,sovereign state,sovereign state in South America,,,refinement,,refinement
1037074313,67660081,[SPD2011] 1586,Q67660081$093c5c1a-408d-4a0f-ba2c-c6391c577158,,6257,right ascension,"""+205.2425""",,"""+205.24250""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,refinement
677500826,529373,Gablingen,Q529373$CAE403E8-D34B-4B2A-94F5-495CE9A07CC3,,2046,area,"""+26.71000000000000085265128291212022304534912109375""",,"""+26.71""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,unrefinement
1307884427,102042681,Oviedo City,Q102042681$9D652F9A-C596-4BC3-937C-C422005FD9E5,,1540,male population,"""+27""",,"""+85422""",,quantity,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,property_value_update
601916016,477647,Papua New Guinea men's national soccer team,Q477647$810D215E-6223-4775-9D0D-CEEF609D5EAE,,1352,ranking,"""+56149""",,"""+203""",,quantity,UPDATE,PROPERTY_VALUE,men's national association football team,national association football team,,,property_value_update,,property_value_update
593811307,43116479,A Battery Shelled,Q43116479$96F8B7DB-0AFD-40C5-B743-705CAB444EDB,,2048,height,"""+182.80000000000001136868377216160297393798828125""",,"""+182.8""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,unrefinement
1035514265,60224267,ESO 486-37,Q60224267$cb5ce209-8106-4c6b-97f0-1835e0fc07b5,,6257,right ascension,"""+78.623800""",,"""+78.6238000""",,quantity,UPDATE,PROPERTY_VALUE,,,,,refinement,,refinement
677488436,534792,Kemberg,Q534792$C59617E9-D6BA-46C3-B48E-61C52CDC66FF,,2046,area,"""+235.210000000000007958078640513122081756591796875""",,"""+235.21""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,unrefinement
1902149290,531965,allylestrenol,Q531965$A611E079-3DE2-4C39-B746-21CDC359D927,,4250,defined daily dose,"""+10.0""",,"""+10""",,quantity,UPDATE,PROPERTY_VALUE,,,,,re_formatting,steroid,unrefinement
417640365,11682636,Huerta Real,Q11682636$29475B3C-FD9F-4CEE-8CE5-7401B112FBF2,,2044,elevation above sea level,"""+680""",,"""+676""",,quantity,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,property_value_update
2264861951,17328206,The Noite com Danilo Gentili,Q17328206$909100ac-4592-07fb-b1a4-1977d8bc3aae,,1113,number of episodes,"""+931""",,"""+932""",,quantity,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,property_value_update
1035205750,265515,North America Nebula,Q265515$a7422819-cc7a-47c4-b9d4-520cb2001a2d,,6258,declination,"""+44.33000""",,"""+44.3300""",,quantity,UPDATE,PROPERTY_VALUE,"astronomical radio source, H II region",H II region in the constellation Cygnus,,,unrefinement,,unrefinement
2243492886,531605,Purral,Q531605$79508301-C632-48E4-8D07-BA80F641FB7B,,2046,area,"""+3.11""",,"""+3""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,unrefinement
603912951,330039,Cape Verde men's national football team,Q330039$957982FC-9DED-4EAA-82FA-019BF75260A3,,1352,ranking,"""+47454""",,"""+169""",,quantity,UPDATE,PROPERTY_VALUE,men's national association football team,national association football team,,,property_value_update,,property_value_update
518192313,29840879,2014 Ringerike Grand Prix,Q29840879$8be1895b-4f10-b14f-0ead-fb3b28ca6bab,,2052,speed,"""+41.141""",,"""+41.14""",,quantity,UPDATE,PROPERTY_VALUE,,,,,unrefinement,1.2,unrefinement
1036238778,82522,Coma Supercluster,Q82522$7b3418e7-9f50-4bcb-9036-0dcdfc8ce903,,6258,declination,"""+23.90000""",,"""+23.90""",,quantity,UPDATE,PROPERTY_VALUE,supercluster,"supercluster, containing the Coma Cluster and the Leo Cluster",,,unrefinement,,unrefinement
1396535656,2946970,These Children by the Way,Q2946970$4BAE4B31-2C6A-4F14-AE56-652CA4D65984,,1113,number of episodes,"""+8""",,"""+18""",,quantity,UPDATE,PROPERTY_VALUE,,,,,property_value_update,,property_value_update
1529051980,192381,Oasis of the Seas,Q192381$CDE6DBB2-EF93-44B9-B402-293DB2C9D7F7,,1093,gross tonnage,"""+225282""",,"""+226838""",,quantity,UPDATE,PROPERTY_VALUE,cruise ship,Oasis-class cruise ship built in 2009,,,property_value_update,,property_value_update
608026295,327100,Zimbabwe men's national football team,Q327100$5BA73C33-EAA0-4830-83B3-E536635BAEE0,,1352,ranking,"""+19429""",,"""+69""",,quantity,UPDATE,PROPERTY_VALUE,men's national association football team,men's national association football team representing Zimbabwe,,,property_value_update,,property_value_update
2322633123,131645,Romanian Leu,Q131645$3212e0ab-477c-2b9e-63b9-3ef48d5a98c1,,2284,price,"""+20097674699037321381916112305806218220551882147235564845147416443917438752""",,"""+0.20097674699037321381916112305806218220551882147235564845147416443917438752""",,quantity,UPDATE,PROPERTY_VALUE,currency,currency of Romania,,,property_value_update,,refinement
1013572758,22086948,T Microscopii,Q22086948$2c73258b-2477-4203-884e-15629b852a56,,1215,apparent magnitude,"""-1.650""",,"""+1.650""",,quantity,UPDATE,PROPERTY_VALUE,,,,,re_formatting,,property_value_update
