revision_id,entity_id,entity_label,value_id,change_target,property_id,property_label,old_value,old_value_label,new_value,new_value_label,datatype,action,target,entity_types_31,entity_description,new_value_description,old_value_description,label,entity_types_279,predicted_class
532639843,154137,8.8 cm Flak 18/36/37/41,Q154137$4C7729BA-97A0-4E92-A91B-03A745A47DA8,,729,service entry,"""+1936-01-01T00:00:00Z""",,"""+1932-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,"anti-aircraft gun, artillery model",anti-aircraft warfare,,,property_value_update,anti-aircraft gun,unrefinement
1662108749,400287,Order of the White Elephant,Q400287$B29FBC9F-E725-4979-8123-1703A1241FEA,,571,inception,"""+1861-12-05T00:00:00Z""",,"""+1861-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,order of chivalry,Thai award,,,unrefinement,,unrefinement
2099349432,467803,Yaa Asantewaa,Q467803$0776AF3F-5ECD-4A70-AFC3-10F678A8F43A,,569,date of birth,"""+1840-01-01T00:00:00Z""",,"""+1832-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Ashanti Queen Mother and military leader,,,property_value_update,,property_value_update
1077491532,9903,Ming dynasty,Q9903$49710FFA-6E5C-4C07-86A1-D6A314B479B1,,571,inception,"""+1368-01-01T00:00:00Z""",,"""+136-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,"culture, historical Chinese state, historical period, sovereign state, style",imperial dynasty of China from 1368 to 1644,,,property_value_update,,unrefinement
2098273529,60215,Bernhardus Varenius,Q60215$91CECDCB-A89E-4034-9DDC-00C53790CA0F,,570,date of death,"""+1650-01-01T00:00:00Z""",,"""+1653-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,German geographer,,,property_value_update,,"unrefinement, property_value_update"
2275114523,102469,Abaza,Q102469$E20E7286-C271-475D-8C63-CE3AC2468702,,571,inception,"""+1867-01-01T00:00:00Z""",,"""+1856-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,", administrative divisions of Russia, city, city of federal subject significance of Russia, hamlet, human settlement, small city, village, work settlement of Russia",town in Russia,,,property_value_update,,"unrefinement, property_value_update"
196236252,340210,Province of Saxony,Q340210$58024A55-689E-4948-8788-4BE431EB9766,,571,inception,"""+1816-01-01T00:00:00Z""",,"""+1815-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,provinces of Prussia,province of Prussia,,,property_value_update,,unrefinement
1145222537,448941,Lucy Walker,Q448941$8D8CE32D-4843-435F-9661-873AC3459B7D,,569,date of birth,"""+1835-01-01T00:00:00Z""",,"""+1836-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,English climber (1836-1916),,,property_value_update,,"unrefinement, property_value_update"
832210776,95200,Matthäus Prätorius,Q95200$62351C11-8210-4A80-9E16-6CB993A13AE2,,569,date of birth,"""+1630-01-01T00:00:00Z""",,"""+1635-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,German historian,,,property_value_update,,"property_value_update, unrefinement"
473883163,312384,Francisco de Vitoria,Q312384$7E9A081B-4002-4617-9110-27F49BED2D95,,569,date of birth,"""+1460-01-01T00:00:00Z""",,"""+1483-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Spanish philosopher,,,property_value_update,,property_value_update
1544463188,200031,Numa Pompilius,Q200031$FB6CBF14-27AD-48A4-BA5E-CF852A05E35E,,570,date of death,"""-673-01-01T00:00:00Z""",,"""-671-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,"human, human whose existence is disputed, legendary figure","legendary second king of Rome, succeeding Romulus",,,property_value_update,,unrefinement
1100098936,76267,Miocene,Q76267$43a81036-45d4-036e-67be-ef5bc0c9c944,,582,end time,"""+5332000-00-00T00:00:00Z""",,"""-5330000-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,"epoch, series",First epoch of the Neogene Period,,,property_value_update,,property_value_update
1777995721,377849,Koronas-Foton,q377849$C686C62E-298F-44C9-9D3C-139766C078C1,,619,UTC date of spacecraft launch,"""+2009-01-30T00:00:00Z""",,"""+30-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,space telescope,russo Research Satellite,,,property_value_update,,unrefinement
1428393579,40197,Lillian Moller Gilbreth,q40197$F51E01CF-D2AC-4C7C-9A7A-0016AC2374A8,,569,date of birth,"""+1878-05-17T00:00:00Z""",,"""+1567-05-17T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,American psychologist and industrial engineer (1878–1972),,,property_value_update,,property_value_update
994927373,430293,The Resurrection,q430293$da663205-40b0-8f19-4e88-458454efcef6,,571,inception,"""+1463-01-01T00:00:00Z""",,"""+1463-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,fresco,fresco by Piero della Francesca,,,re_formatting,,unrefinement
1479386736,7280,Emperor He of Han,Q7280$49383EDE-1D5D-4CE9-A4F3-DDC405CFF7E3,,569,date of birth,"""+79-01-01T00:00:00Z""",,"""+79-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,emperor of the Han Dynasty,,,re_formatting,,re_formatting
1411410925,133783,Heather Bleasdale,Q133783$B3748B63-B8AC-4C31-BB1C-46AF2A324F88,,569,date of birth,"""+1953-01-01T00:00:00Z""",,"""+2000-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,British actress,,,property_value_update,,unrefinement
820574190,312913,Suintila,Q312913$D03452BE-9CF8-4179-B89F-357F4AE1DAED,,570,date of death,"""+634-01-01T00:00:00Z""",,"""+634-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,Visigoth king,,,re_formatting,,unrefinement
1271544511,32458162,Lúcio Kowarick,Q32458162$552afe35-428d-a890-2d05-ddce49c66e9c,,569,date of birth,"""+1938-00-00T00:00:00Z""",,"""+1938-02-11T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,,,,,refinement,,refinement
466603532,25917120,"The old Parish Church, Flint, in 1800",Q25917120$4782D0A6-A819-486C-8D89-46EE90F6AFD6,,571,inception,"""+1801-01-17T00:00:00Z""",,"""+1801-00-00T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,,,,,unrefinement,,unrefinement
670798729,176455,Melanie Griffith,Q176455$7A38198D-394E-492D-B6A0-9D88764D9802,,569,date of birth,"""+1958-08-09T00:00:00Z""",,"""+1957-08-09T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,human,American actress,,,property_value_update,,property_value_update
1166287188,392310,LASK Linz,Q392310$E3558660-6CBC-4543-BC46-C605B6838892,,571,inception,"""+1908-08-07T00:00:00Z""",,"""+1899-08-07T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,association football club,association football club in Austria,,,property_value_update,,property_value_update
718633237,19875057,2015 Leeds City Council election,Q19875057$333EAEB5-9967-4AA1-8F77-2573BB0EC04B,,585,point in time,"""+2015-00-00T00:00:00Z""",,"""+2015-05-07T00:00:00Z""",,time,UPDATE,PROPERTY_VALUE,,,,,refinement,,refinement
